FID,INDICATIVO,NOMBRE,PROVINCIA,ALTITUD,COORD_X,COORD_Y,VAR_OBSVER,DATUM,TIPO
0,2276B,VILLAELES DE VALDAVIA,PALENCIA,908.000000000000000,370729.000000000000000,4714145.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
1,2290Y,PEDROSA DEL PRÍNCIPE,BURGOS,771.000000000000000,401101.000000000000000,4678354.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
2,2296A,ÓLVEGA-CAMINO VEGAFRÍA,SORIA,1039.000000000000000,585048.000000000000000,4625363.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
3,2298,PALACIOS DE LA SIERRA,BURGOS,1080.000000000000000,489089.000000000000000,4645313.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
4,2302N,MONTERRUBIO DE LA DEMANDA,BURGOS,1197.000000000000000,490842.000000000000000,4666036.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
5,2311Y,VILLAMAYOR DE LOS MONTES,BURGOS,882.000000000000000,436519.000000000000000,4661751.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
6,2331X,VILLAFRÍA II,BURGOS,891.000000000000000,448826.000000000000000,4689503.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
7,2362C,"CAMPORREDONDO DE ALBA, CUEVA DORADA",PALENCIA,1575.000000000000000,360085.000000000000000,4750456.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
8,2374X,CARRIÓN DE LOS CONDES,PALENCIA,830.000000000000000,366802.000000000000000,4689997.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
9,2400E,PALENCIA-AUTILLA PINO,PALENCIA,874.000000000000000,367251.000000000000000,4650526.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
10,2422,VALLADOLID,VALLADOLID,735.000000000000000,353884.000000000000000,4611387.000000000000000,UiDdRhSeENvIHBVmtTMpP,ETRS89,AUTOMATICAS
11,2430Y,MUÑOTELLO,AVILA,1178.000000000000000,326896.000000000000000,4490073.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
12,2444X,ÁVILA I,AVILA,1130.000000000000000,357981.000000000000000,4502280.000000000000000, ,ETRS89,AUTOMATICAS
13,2453E,GOTARRENDURA,AVILA,920.000000000000000,353118.000000000000000,4521223.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
14,2456B,AREVALO,AVILA,820.000000000000000,354658.000000000000000,4548124.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
15,2462,"NAVACERRADA,PUERTO",MADRID,1894.000000000000000,414745.000000000000000,4516276.000000000000000,FUiDdRhSeNvIHBVmtTMpP,ETRS89,AUTOMATICAS
16,2471Y,SAN RAFAEL,SEGOVIA,1260.000000000000000,397757.000000000000000,4508164.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
17,2482B,MIGUELAÑEZ,SEGOVIA,870.000000000000000,384510.000000000000000,4553700.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
18,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,1960.000000000000000,271562.000000000000000,4470635.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
19,2503B,"OLMEDO, DEPÓSITO AGUA",VALLADOLID,786.000000000000000,358306.000000000000000,4571222.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
