fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,120.0,0.0,,291.0,,,,,84.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,10.7,10.7,10.4,,,,,IRUN-LAPIZE,,5.9,,2.0,
2020-10-14 20:00:00,120.0,312.0,,315.0,,,,,78.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,11.7,11.7,10.9,,,,,IRUN-LAPIZE,,6.8,,2.4,
2020-10-14 21:00:00,120.0,300.0,,312.0,,,,,81.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,11.3,11.5,10.9,,,,,IRUN-LAPIZE,,6.8,,2.2,
2020-10-14 22:00:00,120.0,317.0,,124.0,,,,,82.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,11.4,11.7,11.4,,,,,IRUN-LAPIZE,,6.0,,0.5,
2020-10-14 23:00:00,120.0,157.0,,159.0,,,,,92.0,1012P,,43.32641,-1.796536,,,,2.2,,,,,,,,,9.8,11.1,9.8,,,,,IRUN-LAPIZE,,2.1,,0.4,
2020-10-15 00:00:00,120.0,327.0,,144.0,,,,,95.0,1012P,,43.32641,-1.796536,,,,1.0,,,,,,,,,9.5,9.7,9.5,,,,,IRUN-LAPIZE,,2.5,,0.2,
2020-10-15 01:00:00,120.0,242.0,,44.0,,,,,96.0,1012P,,43.32641,-1.796536,,,,0.4,,,,,,,,,9.2,9.4,9.2,,,,,IRUN-LAPIZE,,1.4,,0.3,
2020-10-15 02:00:00,120.0,180.0,,245.0,,,,,97.0,1012P,,43.32641,-1.796536,,,,2.4,,,,,,,,,8.9,9.3,8.9,,,,,IRUN-LAPIZE,,2.9,,0.7,
2020-10-15 03:00:00,120.0,260.0,,188.0,,,,,97.0,1012P,,43.32641,-1.796536,,,,3.4,,,,,,,,,9.2,9.2,9.0,,,,,IRUN-LAPIZE,,2.3,,1.0,
2020-10-15 04:00:00,120.0,190.0,,203.0,,,,,97.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,9.1,9.3,9.1,,,,,IRUN-LAPIZE,,3.5,,1.4,
2020-10-15 05:00:00,120.0,210.0,,252.0,,,,,96.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,9.0,9.2,9.0,,,,,IRUN-LAPIZE,,4.1,,1.2,
2020-10-15 06:00:00,120.0,330.0,,99.0,,,,,96.0,1012P,,43.32641,-1.796536,,,,4.2,,,,,,,,,9.2,9.5,9.1,,,,,IRUN-LAPIZE,,9.8,,1.0,
2020-10-15 07:00:00,120.0,120.0,,140.0,,,,,97.0,1012P,,43.32641,-1.796536,,,,0.4,,,,,,,,,8.6,9.2,8.6,,,,,IRUN-LAPIZE,,2.7,,0.8,
2020-10-15 08:00:00,120.0,152.0,,123.0,,,,,97.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,8.3,8.3,8.3,,,,,IRUN-LAPIZE,,2.2,,0.4,
2020-10-15 09:00:00,120.0,230.0,,201.0,,,,,97.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,8.7,8.9,8.6,,,,,IRUN-LAPIZE,,3.8,,1.7,
2020-10-15 10:00:00,120.0,230.0,,246.0,,,,,85.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,10.2,10.2,9.0,,,,,IRUN-LAPIZE,,5.3,,1.9,
2020-10-15 11:00:00,120.0,232.0,,206.0,,,,,93.0,1012P,,43.32641,-1.796536,,,,3.6,,,,,,,,,9.5,10.2,9.5,,,,,IRUN-LAPIZE,,4.4,,0.8,
2020-10-15 12:00:00,120.0,257.0,,272.0,,,,,91.0,1012P,,43.32641,-1.796536,,,,0.2,,,,,,,,,10.3,10.3,9.4,,,,,IRUN-LAPIZE,,5.7,,1.4,
2020-10-15 13:00:00,120.0,250.0,,230.0,,,,,88.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,10.2,10.7,10.2,,,,,IRUN-LAPIZE,,5.2,,2.2,
2020-10-15 14:00:00,120.0,250.0,,231.0,,,,,88.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,9.7,10.0,9.7,,,,,IRUN-LAPIZE,,5.9,,2.6,
2020-10-15 15:00:00,120.0,222.0,,234.0,,,,,84.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,10.1,10.1,9.8,,,,,IRUN-LAPIZE,,5.1,,2.0,
2020-10-15 16:00:00,120.0,235.0,,224.0,,,,,82.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,10.2,10.2,10.1,,,,,IRUN-LAPIZE,,5.0,,1.7,
2020-10-15 17:00:00,120.0,232.0,,206.0,,,,,85.0,1012P,,43.32641,-1.796536,,,,0.0,,,,,,,,,9.8,10.2,9.8,,,,,IRUN-LAPIZE,,5.1,,1.7,
2020-10-14 21:00:00,120.0,300.0,,312.0,,,,,81.0,1012P,,43.326409999999996,-1.7965360000000001,,,,0.0,,,,,,,,,11.3,11.5,10.9,,,,,IRUN-LAPIZE,,6.8,,2.2,
2020-10-14 22:00:00,120.0,317.0,,124.0,,,,,82.0,1012P,,43.326409999999996,-1.7965360000000001,,,,0.0,,,,,,,,,11.4,11.7,11.4,,,,,IRUN-LAPIZE,,6.0,,0.5,
2020-10-14 23:00:00,120.0,157.0,,159.0,,,,,92.0,1012P,,43.326409999999996,-1.7965360000000001,,,,2.2,,,,,,,,,9.8,11.1,9.8,,,,,IRUN-LAPIZE,,2.1,,0.4,
2020-10-15 00:00:00,120.0,327.0,,144.0,,,,,95.0,1012P,,43.326409999999996,-1.7965360000000001,,,,1.0,,,,,,,,,9.5,9.7,9.5,,,,,IRUN-LAPIZE,,2.5,,0.2,
2020-10-15 01:00:00,120.0,242.0,,44.0,,,,,96.0,1012P,,43.326409999999996,-1.7965360000000001,,,,0.4,,,,,,,,,9.2,9.4,9.2,,,,,IRUN-LAPIZE,,1.4,,0.3,
2020-10-15 02:00:00,120.0,180.0,,245.0,,,,,97.0,1012P,,43.326409999999996,-1.7965360000000001,,,,2.4,,,,,,,,,8.9,9.3,8.9,,,,,IRUN-LAPIZE,,2.9,,0.7,
2020-10-15 03:00:00,120.0,260.0,,188.0,,,,,97.0,1012P,,43.326409999999996,-1.7965360000000001,,,,3.4,,,,,,,,,9.2,9.2,9.0,,,,,IRUN-LAPIZE,,2.3,,1.0,
2020-10-15 04:00:00,120.0,190.0,,203.0,,,,,97.0,1012P,,43.326409999999996,-1.7965360000000001,,,,0.0,,,,,,,,,9.1,9.3,9.1,,,,,IRUN-LAPIZE,,3.5,,1.4,
