fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,470.0,247.0,,294.0,,,,,94.0,1049N,,43.138332,-2.495827,,,,0.2,,,,,,,,,7.8,8.0,7.7,,,,,ELGETA,,7.1,,2.1,
2020-10-14 20:00:00,470.0,270.0,,296.0,,,,,96.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,7.6,7.9,7.6,,,,,ELGETA,,4.5,,1.4,
2020-10-14 21:00:00,470.0,295.0,,286.0,,,,,95.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,6.9,7.6,6.9,,,,,ELGETA,,4.1,,1.5,
2020-10-14 22:00:00,470.0,252.0,,293.0,,,,,97.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,6.7,7.1,6.7,,,,,ELGETA,,3.6,,1.1,
2020-10-14 23:00:00,470.0,292.0,,286.0,,,,,98.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,6.5,6.7,6.4,,,,,ELGETA,,3.4,,0.9,
2020-10-15 00:00:00,470.0,265.0,,284.0,,,,,97.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,6.9,7.0,6.6,,,,,ELGETA,,3.4,,1.3,
2020-10-15 01:00:00,470.0,285.0,,280.0,,,,,97.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,6.6,6.8,6.6,,,,,ELGETA,,3.8,,1.8,
2020-10-15 02:00:00,470.0,287.0,,278.0,,,,,97.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,6.0,6.5,6.0,,,,,ELGETA,,6.0,,1.5,
2020-10-15 03:00:00,470.0,295.0,,326.0,,,,,98.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,5.6,5.9,5.6,,,,,ELGETA,,2.2,,0.6,
2020-10-15 04:00:00,470.0,290.0,,290.0,,,,,99.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,6.3,6.3,5.7,,,,,ELGETA,,3.4,,1.4,
2020-10-15 05:00:00,470.0,312.0,,297.0,,,,,98.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,6.5,6.5,6.3,,,,,ELGETA,,4.2,,1.1,
2020-10-15 06:00:00,470.0,320.0,,301.0,,,,,98.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,7.2,7.2,6.7,,,,,ELGETA,,5.0,,1.7,
2020-10-15 07:00:00,470.0,317.0,,31.0,,,,,99.0,1049N,,43.138332,-2.495827,,,,4.0,,,,,,,,,6.2,7.4,6.2,,,,,ELGETA,,4.3,,1.1,
2020-10-15 08:00:00,470.0,302.0,,290.0,,,,,99.0,1049N,,43.138332,-2.495827,,,,1.2,,,,,,,,,7.2,7.2,6.6,,,,,ELGETA,,3.5,,1.6,
2020-10-15 09:00:00,470.0,265.0,,96.0,,,,,98.0,1049N,,43.138332,-2.495827,,,,3.0,,,,,,,,,6.9,7.2,6.9,,,,,ELGETA,,6.6,,1.3,
2020-10-15 10:00:00,470.0,137.0,,104.0,,,,,99.0,1049N,,43.138332,-2.495827,,,,0.6,,,,,,,,,7.2,7.2,6.8,,,,,ELGETA,,3.9,,0.9,
2020-10-15 11:00:00,470.0,120.0,,109.0,,,,,97.0,1049N,,43.138332,-2.495827,,,,0.0,,,,,,,,,7.6,7.6,7.2,,,,,ELGETA,,2.7,,0.7,
2020-10-15 12:00:00,470.0,302.0,,315.0,,,,,96.0,1049N,,43.138332,-2.495827,,,,2.4,,,,,,,,,7.1,7.4,7.1,,,,,ELGETA,,2.8,,1.3,
2020-10-15 13:00:00,470.0,255.0,,300.0,,,,,95.0,1049N,,43.138332,-2.495827,,,,0.6,,,,,,,,,7.3,7.4,7.2,,,,,ELGETA,,3.0,,1.1,
2020-10-15 14:00:00,470.0,270.0,,285.0,,,,,94.0,1049N,,43.138332,-2.495827,,,,1.4,,,,,,,,,7.6,8.1,7.6,,,,,ELGETA,,3.4,,1.7,
2020-10-15 15:00:00,470.0,2.0,,285.0,,,,,95.0,1049N,,43.138332,-2.495827,,,,0.4,,,,,,,,,8.2,8.3,7.4,,,,,ELGETA,,2.7,,1.0,
2020-10-15 16:00:00,470.0,142.0,,282.0,,,,,97.0,1049N,,43.138332,-2.495827,,,,0.6,,,,,,,,,8.2,8.2,8.1,,,,,ELGETA,,4.8,,0.7,
2020-10-15 17:00:00,470.0,47.0,,3.0,,,,,98.0,1049N,,43.138332,-2.495827,,,,0.2,,,,,,,,,7.9,8.2,7.9,,,,,ELGETA,,3.8,,1.1,
2020-10-15 18:00:00,470.0,327.0,,283.0,,,,,98.0,1049N,,43.138332,-2.495827,,,,1.0,,,,,,,,,6.7,7.6,6.6,,,,,ELGETA,,3.5,,0.6,
2020-10-14 21:00:00,470.0,295.0,,286.0,,,,,95.0,1049N,,43.138332,-2.4958270000000002,,,,0.0,,,,,,,,,6.9,7.6,6.9,,,,,ELGETA,,4.1,,1.5,
2020-10-14 22:00:00,470.0,252.0,,293.0,,,,,97.0,1049N,,43.138332,-2.4958270000000002,,,,0.0,,,,,,,,,6.7,7.1,6.7,,,,,ELGETA,,3.6,,1.1,
