fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,110.0,275.0,,254.0,,,,,94.0,1154H,,43.358517,-4.027419,,,,0.2,,,,,,,,,10.9,11.1,10.9,,,,,TORRELAVEGA-SIERRAPANDO,,5.8,,3.3,
2020-10-14 20:00:00,110.0,265.0,,275.0,,,,,94.0,1154H,,43.358517,-4.027419,,,,0.2,,,,,,,,,10.9,10.9,10.8,,,,,TORRELAVEGA-SIERRAPANDO,,5.9,,3.4,
2020-10-14 21:00:00,110.0,257.0,,75.0,,,,,95.0,1154H,,43.358517,-4.027419,,,,3.2,,,,,,,,,10.8,11.0,10.8,,,,,TORRELAVEGA-SIERRAPANDO,,4.2,,1.7,
2020-10-14 22:00:00,110.0,255.0,,256.0,,,,,96.0,1154H,,43.358517,-4.027419,,,,0.0,,,,,,,,,10.6,10.8,10.6,,,,,TORRELAVEGA-SIERRAPANDO,,3.7,,1.8,
2020-10-14 23:00:00,110.0,235.0,,222.0,,,,,97.0,1154H,,43.358517,-4.027419,,,,0.8,,,,,,,,,10.5,10.6,10.5,,,,,TORRELAVEGA-SIERRAPANDO,,4.1,,2.8,
2020-10-15 00:00:00,110.0,252.0,,226.0,,,,,97.0,1154H,,43.358517,-4.027419,,,,0.8,,,,,,,,,10.4,10.5,10.4,,,,,TORRELAVEGA-SIERRAPANDO,,6.1,,2.1,
2020-10-15 01:00:00,110.0,260.0,,246.0,,,,,97.0,1154H,,43.358517,-4.027419,,,,2.8,,,,,,,,,10.3,10.4,10.3,,,,,TORRELAVEGA-SIERRAPANDO,,4.2,,1.8,
2020-10-15 02:00:00,110.0,232.0,,235.0,,,,,98.0,1154H,,43.358517,-4.027419,,,,0.0,,,,,,,,,10.2,10.3,10.2,,,,,TORRELAVEGA-SIERRAPANDO,,4.3,,2.9,
2020-10-15 03:00:00,110.0,230.0,,244.0,,,,,98.0,1154H,,43.358517,-4.027419,,,,1.4,,,,,,,,,10.2,10.3,10.2,,,,,TORRELAVEGA-SIERRAPANDO,,4.5,,2.5,
2020-10-15 04:00:00,110.0,232.0,,238.0,,,,,98.0,1154H,,43.358517,-4.027419,,,,2.2,,,,,,,,,10.1,10.2,10.1,,,,,TORRELAVEGA-SIERRAPANDO,,5.5,,3.1,
2020-10-15 05:00:00,110.0,227.0,,245.0,,,,,98.0,1154H,,43.358517,-4.027419,,,,1.2,,,,,,,,,10.2,10.3,10.1,,,,,TORRELAVEGA-SIERRAPANDO,,4.8,,1.2,
2020-10-15 06:00:00,110.0,267.0,,217.0,,,,,98.0,1154H,,43.358517,-4.027419,,,,0.2,,,,,,,,,10.1,10.2,10.1,,,,,TORRELAVEGA-SIERRAPANDO,,5.1,,2.5,
2020-10-15 07:00:00,110.0,227.0,,237.0,,,,,98.0,1154H,,43.358517,-4.027419,,,,0.0,,,,,,,,,10.1,10.2,10.1,,,,,TORRELAVEGA-SIERRAPANDO,,4.6,,3.1,
2020-10-15 08:00:00,110.0,247.0,,253.0,,,,,97.0,1154H,,43.358517,-4.027419,,,,0.0,,,,,,,,,10.9,10.9,10.1,,,,,TORRELAVEGA-SIERRAPANDO,,5.6,,2.6,
