fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,670.0,335.0,,151.0,,,,,99.0,1276F,,43.1,-6.256944,,,,0.6,,,,,,,,,8.1,8.2,8.1,,,,,POLA DE SOMIEDO-DEPURADORA,,1.4,,0.1,
2020-10-14 20:00:00,670.0,10.0,,342.0,,,,,100.0,1276F,,43.1,-6.256944,,,,0.2,,,,,,,,,7.9,8.0,7.9,,,,,POLA DE SOMIEDO-DEPURADORA,,3.3,,0.8,
2020-10-14 21:00:00,670.0,5.0,,349.0,,,,,100.0,1276F,,43.1,-6.256944,,,,0.0,,,,,,,,,7.9,7.9,7.9,,,,,POLA DE SOMIEDO-DEPURADORA,,2.4,,0.2,
2020-10-14 22:00:00,670.0,77.0,,168.0,,,,,100.0,1276F,,43.1,-6.256944,,,,0.0,,,,,,,,,8.0,8.0,8.0,,,,,POLA DE SOMIEDO-DEPURADORA,,0.7,,0.2,
2020-10-14 23:00:00,670.0,2.0,,215.0,,,,,100.0,1276F,,43.1,-6.256944,,,,0.2,,,,,,,,,7.9,8.0,7.9,,,,,POLA DE SOMIEDO-DEPURADORA,,0.8,,0.0,
2020-10-15 00:00:00,670.0,347.0,,354.0,,,,,100.0,1276F,,43.1,-6.256944,,,,0.8,,,,,,,,,7.9,8.0,7.9,,,,,POLA DE SOMIEDO-DEPURADORA,,0.0,,0.0,
2020-10-15 01:00:00,670.0,205.0,,337.0,,,,,100.0,1276F,,43.1,-6.256944,,,,0.4,,,,,,,,,7.8,7.9,7.8,,,,,POLA DE SOMIEDO-DEPURADORA,,0.8,,0.0,
2020-10-15 02:00:00,670.0,195.0,,292.0,,,,,100.0,1276F,,43.1,-6.256944,,,,0.6,,,,,,,,,7.8,7.9,7.8,,,,,POLA DE SOMIEDO-DEPURADORA,,0.0,,0.0,
2020-10-15 03:00:00,670.0,90.0,,34.0,,,,,100.0,1276F,,43.1,-6.256944,,,,0.6,,,,,,,,,7.7,7.8,7.7,,,,,POLA DE SOMIEDO-DEPURADORA,,0.0,,0.0,
2020-10-15 04:00:00,670.0,70.0,,164.0,,,,,100.0,1276F,,43.1,-6.256944,,,,0.2,,,,,,,,,7.7,7.8,7.7,,,,,POLA DE SOMIEDO-DEPURADORA,,0.0,,0.0,
