fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,10.0,,,,,,,,77.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,12.0,12.7,11.6,,,,,BOIRO,,,,,
2020-10-14 20:00:00,10.0,,,,,,,,74.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,13.3,13.5,12.2,,,,,BOIRO,,,,,
2020-10-14 21:00:00,10.0,,,,,,,,79.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,11.5,13.0,11.5,,,,,BOIRO,,,,,
2020-10-14 22:00:00,10.0,,,,,,,,86.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,9.3,10.8,9.3,,,,,BOIRO,,,,,
2020-10-14 23:00:00,10.0,,,,,,,,89.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,9.7,9.7,9.4,,,,,BOIRO,,,,,
2020-10-15 00:00:00,10.0,,,,,,,,90.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,9.8,9.8,9.6,,,,,BOIRO,,,,,
2020-10-15 01:00:00,10.0,,,,,,,,91.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,9.0,9.7,9.0,,,,,BOIRO,,,,,
2020-10-15 02:00:00,10.0,,,,,,,,92.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,8.2,8.8,8.2,,,,,BOIRO,,,,,
2020-10-15 03:00:00,10.0,,,,,,,,93.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,7.6,8.2,7.6,,,,,BOIRO,,,,,
2020-10-15 04:00:00,10.0,,,,,,,,94.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,8.4,8.4,7.4,,,,,BOIRO,,,,,
2020-10-15 05:00:00,10.0,,,,,,,,94.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,8.7,8.7,8.2,,,,,BOIRO,,,,,
2020-10-15 06:00:00,10.0,,,,,,,,94.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,8.6,8.9,8.6,,,,,BOIRO,,,,,
2020-10-15 07:00:00,10.0,,,,,,,,95.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,8.5,8.5,7.9,,,,,BOIRO,,,,,
2020-10-15 08:00:00,10.0,,,,,,,,95.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,9.3,9.3,8.5,,,,,BOIRO,,,,,
2020-10-15 09:00:00,10.0,,,,,,,,93.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,11.9,11.9,9.6,,,,,BOIRO,,,,,
2020-10-15 10:00:00,10.0,,,,,,,,89.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,15.1,15.1,12.2,,,,,BOIRO,,,,,
2020-10-15 11:00:00,10.0,,,,,,,,79.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,16.0,16.5,16.0,,,,,BOIRO,,,,,
2020-10-15 12:00:00,10.0,,,,,,,,72.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,15.6,17.1,15.6,,,,,BOIRO,,,,,
2020-10-15 13:00:00,10.0,,,,,,,,56.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,17.9,18.4,16.2,,,,,BOIRO,,,,,
2020-10-15 14:00:00,10.0,,,,,,,,67.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,17.1,18.2,16.9,,,,,BOIRO,,,,,
2020-10-15 15:00:00,10.0,,,,,,,,69.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,16.8,17.1,16.4,,,,,BOIRO,,,,,
2020-10-15 16:00:00,10.0,,,,,,,,68.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,16.6,17.1,16.4,,,,,BOIRO,,,,,
2020-10-15 17:00:00,10.0,,,,,,,,71.0,1442U,,42.643887,-8.892333,,,,0.0,,,,,,,,,15.6,16.4,15.4,,,,,BOIRO,,,,,
