fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,755.0,347.0,,343.0,,,,,53.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,9.1,12.7,9.1,,,,,FUENTE EL SOL,,4.8,,2.5,
2020-10-14 20:00:00,755.0,7.0,,7.0,,,,,53.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,8.5,8.6,8.0,,,,,FUENTE EL SOL,,3.7,,2.5,
2020-10-14 21:00:00,755.0,10.0,,288.0,,,,,62.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,6.1,7.7,6.1,,,,,FUENTE EL SOL,,3.7,,1.2,
2020-10-14 22:00:00,755.0,307.0,,304.0,,,,,66.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,5.2,5.8,5.0,,,,,FUENTE EL SOL,,3.6,,2.7,
2020-10-14 23:00:00,755.0,325.0,,78.0,,,,,65.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,4.4,5.8,4.4,,,,,FUENTE EL SOL,,3.8,,0.8,
2020-10-15 00:00:00,755.0,132.0,,243.0,,,,,76.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,2.7,3.6,2.6,,,,,FUENTE EL SOL,,2.5,,0.7,
2020-10-15 01:00:00,755.0,235.0,,227.0,,,,,78.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,2.6,2.6,2.1,,,,,FUENTE EL SOL,,2.5,,0.6,
2020-10-15 02:00:00,755.0,200.0,,239.0,,,,,83.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,1.4,2.4,1.3,,,,,FUENTE EL SOL,,1.9,,0.9,
2020-10-15 03:00:00,755.0,210.0,,201.0,,,,,83.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,1.7,1.7,1.5,,,,,FUENTE EL SOL,,3.1,,2.2,
2020-10-15 04:00:00,755.0,210.0,,196.0,,,,,84.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,1.1,1.6,0.8,,,,,FUENTE EL SOL,,2.7,,1.2,
2020-10-15 05:00:00,755.0,210.0,,208.0,,,,,87.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,0.8,1.4,0.8,,,,,FUENTE EL SOL,,2.4,,1.5,
2020-10-15 06:00:00,755.0,217.0,,195.0,,,,,86.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,-0.3,0.4,-0.3,,,,,FUENTE EL SOL,,1.3,,0.4,
2020-10-15 07:00:00,755.0,220.0,,169.0,,,,,85.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,1.3,1.3,-0.1,,,,,FUENTE EL SOL,,2.1,,0.9,
2020-10-15 08:00:00,755.0,242.0,,244.0,,,,,73.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,6.0,6.0,2.2,,,,,FUENTE EL SOL,,1.7,,1.0,
2020-10-15 09:00:00,755.0,235.0,,247.0,,,,,61.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,10.4,10.4,6.9,,,,,FUENTE EL SOL,,2.0,,1.0,
2020-10-15 10:00:00,755.0,305.0,,284.0,,,,,54.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,12.3,12.5,11.0,,,,,FUENTE EL SOL,,4.0,,2.0,
2020-10-15 11:00:00,755.0,327.0,,324.0,,,,,47.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,14.2,14.2,12.4,,,,,FUENTE EL SOL,,4.4,,1.7,
2020-10-15 12:00:00,755.0,335.0,,330.0,,,,,46.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,14.2,14.7,13.9,,,,,FUENTE EL SOL,,6.6,,3.8,
2020-10-15 13:00:00,755.0,347.0,,358.0,,,,,46.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,15.0,15.1,13.5,,,,,FUENTE EL SOL,,7.0,,3.3,
2020-10-15 14:00:00,755.0,327.0,,355.0,,,,,43.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,14.8,16.4,14.6,,,,,FUENTE EL SOL,,6.5,,3.4,
2020-10-15 15:00:00,755.0,20.0,,358.0,,,,,44.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,14.4,14.9,14.0,,,,,FUENTE EL SOL,,6.5,,3.5,
2020-10-15 16:00:00,755.0,352.0,,53.0,,,,,41.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,15.5,16.4,13.9,,,,,FUENTE EL SOL,,5.6,,2.1,
2020-10-15 17:00:00,755.0,25.0,,33.0,,,,,44.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,13.7,14.9,13.7,,,,,FUENTE EL SOL,,4.5,,3.1,
2020-10-15 18:00:00,755.0,50.0,,44.0,,,,,49.0,2517A,,41.172752,-4.939637,,,,0.0,,,,,,,,,12.2,13.5,12.2,,,,,FUENTE EL SOL,,5.4,,2.1,
