fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,313.0,315.0,,310.0,,,,,39.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,16.3,17.9,16.3,,,,,NAVALVILLAR DE PELA,,5.0,,2.6,
2020-10-14 20:00:00,313.0,307.0,,314.0,,,,,40.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,15.6,15.9,15.4,,,,,NAVALVILLAR DE PELA,,4.1,,2.1,
2020-10-14 21:00:00,313.0,277.0,,288.0,,,,,42.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,15.1,15.4,14.9,,,,,NAVALVILLAR DE PELA,,5.2,,3.3,
2020-10-14 22:00:00,313.0,315.0,,299.0,,,,,45.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,14.3,15.0,14.3,,,,,NAVALVILLAR DE PELA,,5.6,,2.6,
2020-10-14 23:00:00,313.0,287.0,,298.0,,,,,48.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,13.8,14.3,13.8,,,,,NAVALVILLAR DE PELA,,4.8,,2.1,
2020-10-15 00:00:00,313.0,290.0,,100.0,,,,,58.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,10.5,13.5,10.5,,,,,NAVALVILLAR DE PELA,,3.1,,1.4,
2020-10-15 01:00:00,313.0,147.0,,199.0,,,,,63.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,9.2,9.8,9.2,,,,,NAVALVILLAR DE PELA,,4.1,,1.0,
2020-10-15 02:00:00,313.0,185.0,,357.0,,,,,65.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,8.6,9.2,8.5,,,,,NAVALVILLAR DE PELA,,2.3,,0.2,
2020-10-15 03:00:00,313.0,180.0,,178.0,,,,,69.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,7.3,8.6,7.3,,,,,NAVALVILLAR DE PELA,,1.0,,0.6,
2020-10-15 04:00:00,313.0,30.0,,62.0,,,,,72.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,6.1,7.3,6.1,,,,,NAVALVILLAR DE PELA,,1.0,,0.8,
2020-10-15 05:00:00,313.0,152.0,,116.0,,,,,74.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,6.1,6.1,5.5,,,,,NAVALVILLAR DE PELA,,1.3,,0.3,
2020-10-15 06:00:00,313.0,217.0,,213.0,,,,,79.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,5.8,5.8,5.4,,,,,NAVALVILLAR DE PELA,,1.3,,0.8,
2020-10-15 07:00:00,313.0,202.0,,83.0,,,,,79.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,5.5,5.9,5.5,,,,,NAVALVILLAR DE PELA,,1.5,,0.1,
2020-10-15 08:00:00,313.0,80.0,,79.0,,,,,77.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,7.9,7.9,5.6,,,,,NAVALVILLAR DE PELA,,1.0,,0.2,
2020-10-15 09:00:00,313.0,202.0,,182.0,,,,,60.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,12.5,12.5,8.7,,,,,NAVALVILLAR DE PELA,,1.2,,0.5,
2020-10-15 10:00:00,313.0,107.0,,99.0,,,,,52.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,15.3,15.3,13.2,,,,,NAVALVILLAR DE PELA,,2.5,,1.0,
2020-10-15 11:00:00,313.0,110.0,,91.0,,,,,46.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,17.5,17.5,15.7,,,,,NAVALVILLAR DE PELA,,3.4,,1.2,
2020-10-15 12:00:00,313.0,327.0,,242.0,,,,,40.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,19.0,19.0,17.8,,,,,NAVALVILLAR DE PELA,,3.8,,1.6,
2020-10-15 13:00:00,313.0,35.0,,46.0,,,,,35.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,20.0,20.0,19.2,,,,,NAVALVILLAR DE PELA,,3.2,,1.6,
2020-10-15 14:00:00,313.0,262.0,,248.0,,,,,33.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,21.1,21.1,20.1,,,,,NAVALVILLAR DE PELA,,4.2,,1.8,
2020-10-15 15:00:00,313.0,290.0,,339.0,,,,,30.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,21.3,21.4,21.1,,,,,NAVALVILLAR DE PELA,,4.8,,2.3,
2020-10-15 16:00:00,313.0,305.0,,293.0,,,,,30.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,21.4,21.4,21.2,,,,,NAVALVILLAR DE PELA,,5.1,,1.0,
2020-10-15 17:00:00,313.0,292.0,,313.0,,,,,33.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,19.8,21.3,19.8,,,,,NAVALVILLAR DE PELA,,4.2,,1.3,
2020-10-14 21:00:00,313.0,277.0,,288.0,,,,,42.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,15.1,15.4,14.9,,,,,NAVALVILLAR DE PELA,,5.2,,3.3,
2020-10-14 22:00:00,313.0,315.0,,299.0,,,,,45.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,14.3,15.0,14.3,,,,,NAVALVILLAR DE PELA,,5.6,,2.6,
2020-10-14 23:00:00,313.0,287.0,,298.0,,,,,48.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,13.8,14.3,13.8,,,,,NAVALVILLAR DE PELA,,4.8,,2.1,
2020-10-15 00:00:00,313.0,290.0,,100.0,,,,,58.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,10.5,13.5,10.5,,,,,NAVALVILLAR DE PELA,,3.1,,1.4,
2020-10-15 01:00:00,313.0,147.0,,199.0,,,,,63.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,9.2,9.8,9.2,,,,,NAVALVILLAR DE PELA,,4.1,,1.0,
2020-10-15 02:00:00,313.0,185.0,,357.0,,,,,65.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,8.6,9.2,8.5,,,,,NAVALVILLAR DE PELA,,2.3,,0.2,
2020-10-15 03:00:00,313.0,180.0,,178.0,,,,,69.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,7.3,8.6,7.3,,,,,NAVALVILLAR DE PELA,,1.0,,0.6,
2020-10-15 04:00:00,313.0,30.0,,62.0,,,,,72.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,6.1,7.3,6.1,,,,,NAVALVILLAR DE PELA,,1.0,,0.8,
2020-10-15 05:00:00,313.0,152.0,,116.0,,,,,74.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,6.1,6.1,5.5,,,,,NAVALVILLAR DE PELA,,1.3,,0.3,
2020-10-15 06:00:00,313.0,217.0,,213.0,,,,,79.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,5.8,5.8,5.4,,,,,NAVALVILLAR DE PELA,,1.3,,0.8,
2020-10-15 07:00:00,313.0,202.0,,83.0,,,,,79.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,5.5,5.9,5.5,,,,,NAVALVILLAR DE PELA,,1.5,,0.1,
2020-10-15 08:00:00,313.0,80.0,,79.0,,,,,77.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,7.9,7.9,5.6,,,,,NAVALVILLAR DE PELA,,1.0,,0.2,
2020-10-15 09:00:00,313.0,202.0,,182.0,,,,,60.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,12.5,12.5,8.7,,,,,NAVALVILLAR DE PELA,,1.2,,0.5,
2020-10-15 10:00:00,313.0,107.0,,99.0,,,,,52.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,15.3,15.3,13.2,,,,,NAVALVILLAR DE PELA,,2.5,,1.0,
2020-10-15 11:00:00,313.0,110.0,,91.0,,,,,46.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,17.5,17.5,15.7,,,,,NAVALVILLAR DE PELA,,3.4,,1.2,
2020-10-15 12:00:00,313.0,327.0,,242.0,,,,,40.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,19.0,19.0,17.8,,,,,NAVALVILLAR DE PELA,,3.8,,1.6,
2020-10-15 13:00:00,313.0,35.0,,46.0,,,,,35.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,20.0,20.0,19.2,,,,,NAVALVILLAR DE PELA,,3.2,,1.6,
2020-10-15 14:00:00,313.0,262.0,,248.0,,,,,33.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,21.1,21.1,20.1,,,,,NAVALVILLAR DE PELA,,4.2,,1.8,
2020-10-15 15:00:00,313.0,290.0,,339.0,,,,,30.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,21.3,21.4,21.1,,,,,NAVALVILLAR DE PELA,,4.8,,2.3,
2020-10-15 16:00:00,313.0,305.0,,293.0,,,,,30.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,21.4,21.4,21.2,,,,,NAVALVILLAR DE PELA,,5.1,,1.0,
2020-10-15 17:00:00,313.0,292.0,,313.0,,,,,33.0,4340,,39.10346,-5.461334,,,,0.0,,,,,,,,,19.8,21.3,19.8,,,,,NAVALVILLAR DE PELA,,4.2,,1.3,
