fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,41.0,347.0,,331.0,,,,,41.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1010.7,1015.6,,74.0,,,,,17.3,20.1,17.3,3.9,,,,EL ARENOSILLO,,3.2,,2.1,
2020-10-14 20:00:00,41.0,332.0,,341.0,,,,,40.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1011.1,1016.0,,81.0,,,,,16.9,17.3,16.9,3.2,,,,EL ARENOSILLO,,4.0,,1.8,
2020-10-14 21:00:00,41.0,336.0,,326.0,,,,,42.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.1,1017.0,,81.0,,,,,15.9,17.0,15.7,3.0,,,,EL ARENOSILLO,,4.3,,2.8,
2020-10-14 22:00:00,41.0,340.0,,329.0,,,,,45.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.3,1017.2,,89.0,,,,,15.3,15.9,15.3,3.4,,,,EL ARENOSILLO,,4.7,,2.9,
2020-10-14 23:00:00,41.0,325.0,,339.0,,,,,48.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.3,1017.2,,101.0,,,,,15.1,15.3,14.9,4.1,,,,EL ARENOSILLO,,5.4,,3.0,
2020-10-15 00:00:00,41.0,354.0,,356.0,,,,,53.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.4,1017.3,,113.0,,,,,14.4,15.1,14.3,5.0,,,,EL ARENOSILLO,,6.6,,3.1,
2020-10-15 01:00:00,41.0,336.0,,345.0,,,,,58.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.5,1017.4,,113.0,,,,,13.5,14.3,13.5,5.5,,,,EL ARENOSILLO,,6.0,,3.1,
2020-10-15 02:00:00,41.0,343.0,,350.0,,,,,63.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.5,1017.5,,102.0,,,,,12.9,13.7,12.8,6.1,,,,EL ARENOSILLO,,5.7,,2.7,
2020-10-15 03:00:00,41.0,1.0,,1.0,,,,,66.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.0,1017.0,,117.0,,,,,12.4,12.9,12.2,6.2,,,,EL ARENOSILLO,,5.9,,3.6,
2020-10-15 04:00:00,41.0,14.0,,8.0,,,,,69.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.0,1017.0,,148.0,,,,,12.1,12.3,12.0,6.5,,,,EL ARENOSILLO,,6.7,,4.2,
2020-10-15 05:00:00,41.0,4.0,,5.0,,,,,72.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.4,1017.4,,148.0,,,,,11.7,12.2,11.6,6.8,,,,EL ARENOSILLO,,7.5,,3.9,
2020-10-15 06:00:00,41.0,1.0,,11.0,,,,,74.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1012.4,1017.4,,153.0,,,,,11.2,11.8,11.0,6.7,,,,EL ARENOSILLO,,6.9,,4.0,
2020-10-15 07:00:00,41.0,19.0,,123.0,,,,,78.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1013.1,1018.1,,50.0,,,,,10.2,11.3,10.2,6.5,,,,EL ARENOSILLO,,5.9,,0.8,
2020-10-15 08:00:00,41.0,13.0,,4.0,,,,,67.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1013.9,1018.8,,49.0,,,,,13.3,13.3,10.2,7.3,,,,EL ARENOSILLO,,3.6,,2.2,
2020-10-15 09:00:00,41.0,11.0,,335.0,,,,,50.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1014.2,1019.1,,61.0,,,,,17.1,17.1,13.2,6.5,,,,EL ARENOSILLO,,3.7,,0.8,
2020-10-15 10:00:00,41.0,252.0,,254.0,,,,,52.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1014.0,1018.9,,51.0,,,,,18.6,19.0,17.2,8.5,,,,EL ARENOSILLO,,3.9,,1.7,
2020-10-15 11:00:00,41.0,274.0,,225.0,,,,,46.0,5860E,,37.097941999999996,-6.738088,,,,0.0,1013.8,1018.6,,71.0,,,,,19.9,19.9,18.7,8.0,,,,EL ARENOSILLO,,3.7,,2.1,
