fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,69.0,,,,,,,,29.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,21.7,22.5,21.7,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-14 20:00:00,69.0,,,,,,,,31.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,21.1,21.6,21.1,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-14 21:00:00,69.0,,,,,,,,34.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,20.5,21.1,20.5,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-14 22:00:00,69.0,,,,,,,,37.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,19.0,20.4,19.0,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-14 23:00:00,69.0,,,,,,,,38.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,19.1,19.2,18.6,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-15 00:00:00,69.0,,,,,,,,40.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,18.5,19.2,18.5,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-15 01:00:00,69.0,,,,,,,,42.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,17.4,18.3,17.4,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-15 02:00:00,69.0,,,,,,,,48.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,15.3,17.1,15.3,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-15 03:00:00,69.0,,,,,,,,52.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,13.8,14.9,13.8,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-15 04:00:00,69.0,,,,,,,,51.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,14.5,14.5,13.4,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
2020-10-15 05:00:00,69.0,,,,,,,,50.0,6199B,,36.77556,-4.095279,,,,0.0,,,,,,,,,14.7,14.7,14.4,,,,,VELEZ MALAGA (AUTOMATICA),,,,,
