fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,1650.0,270.0,,266.0,,,,,92.0,9001S,,43.036667,-4.374447,,,,1.5,832.5,,,192.0,,,,,0.7,0.9,0.4,-0.5,,,,Alto Campoo,,11.8,,3.4,
2020-10-14 20:00:00,1650.0,274.0,,274.0,,,,,87.0,9001S,,43.036667,-4.374447,,,,1.3,832.8,,,229.0,,,,,0.7,1.1,0.6,-1.2,,,,Alto Campoo,,14.6,,6.9,
2020-10-14 21:00:00,1650.0,239.0,,272.0,,,,,90.0,9001S,,43.036667,-4.374447,,,,0.0,833.0,,,232.0,,,,,0.6,0.7,0.5,-1.0,,,,Alto Campoo,,15.5,,5.0,
2020-10-14 22:00:00,1650.0,284.0,,240.0,,,,,91.0,9001S,,43.036667,-4.374447,,,,0.9,833.1,,,182.0,,,,,0.5,0.7,0.3,-0.7,,,,Alto Campoo,,11.3,,5.5,
2020-10-14 23:00:00,1650.0,262.0,,267.0,,,,,92.0,9001S,,43.036667,-4.374447,,,,0.2,833.5,,,137.0,,,,,0.5,0.6,0.4,-0.7,,,,Alto Campoo,,9.2,,3.1,
2020-10-15 00:00:00,1650.0,270.0,,243.0,,,,,89.0,9001S,,43.036667,-4.374447,,,,0.0,833.6,,,121.0,,,,,0.5,0.6,0.4,-1.2,,,,Alto Campoo,,7.8,,4.2,
2020-10-15 01:00:00,1650.0,252.0,,290.0,,,,,90.0,9001S,,43.036667,-4.374447,,,,0.0,833.5,,,131.0,,,,,0.8,0.9,0.5,-0.7,,,,Alto Campoo,,10.5,,3.8,
2020-10-15 02:00:00,1650.0,278.0,,273.0,,,,,92.0,9001S,,43.036667,-4.374447,,,,0.9,833.3,,,132.0,,,,,0.6,0.8,0.5,-0.5,,,,Alto Campoo,,9.7,,3.5,
2020-10-15 03:00:00,1650.0,223.0,,268.0,,,,,93.0,9001S,,43.036667,-4.374447,,,,0.4,833.4,,,120.0,,,,,0.5,0.7,0.5,-0.5,,,,Alto Campoo,,8.9,,3.4,
2020-10-15 04:00:00,1650.0,290.0,,251.0,,,,,94.0,9001S,,43.036667,-4.374447,,,,0.4,833.3,,,128.0,,,,,0.6,0.6,0.4,-0.3,,,,Alto Campoo,,9.6,,3.3,
2020-10-15 05:00:00,1650.0,249.0,,260.0,,,,,92.0,9001S,,43.036667,-4.374447,,,,1.1,833.2,,,163.0,,,,,0.7,0.8,0.4,-0.5,,,,Alto Campoo,,10.7,,4.9,
2020-10-15 06:00:00,1650.0,268.0,,269.0,,,,,90.0,9001S,,43.036667,-4.374447,,,,2.3,833.5,,,127.0,,,,,0.5,0.8,0.4,-1.0,,,,Alto Campoo,,10.3,,4.8,
2020-10-15 07:00:00,1650.0,260.0,,258.0,,,,,93.0,9001S,,43.036667,-4.374447,,,,1.4,833.7,,,165.0,,,,,0.2,0.6,0.1,-0.7,,,,Alto Campoo,,10.3,,5.1,
2020-10-15 08:00:00,1650.0,239.0,,252.0,,,,,93.0,9001S,,43.036667,-4.374447,,,,1.1,833.7,,,164.0,,,,,0.5,0.5,0.1,-0.5,,,,Alto Campoo,,13.1,,5.1,
2020-10-15 09:00:00,1650.0,272.0,,261.0,,,,,92.0,9001S,,43.036667,-4.374447,,,,2.4,834.6,,,144.0,,,,,0.7,0.8,0.5,-0.5,,,,Alto Campoo,,11.0,,2.9,
2020-10-15 10:00:00,1650.0,248.0,,247.0,,,,,90.0,9001S,,43.036667,-4.374447,,,,2.7,834.9,,,134.0,,,,,0.4,0.8,0.4,-1.0,,,,Alto Campoo,,9.3,,4.6,
2020-10-15 11:00:00,1650.0,286.0,,11.0,,,,,91.0,9001S,,43.036667,-4.374447,,,,2.3,835.2,,,127.0,,,,,0.5,0.5,0.1,-0.7,,,,Alto Campoo,,12.8,,0.3,
2020-10-15 12:00:00,1650.0,274.0,,258.0,,,,,90.0,9001S,,43.036667,-4.374447,,,,2.0,834.9,,,180.0,,,,,0.3,0.6,0.2,-1.2,,,,Alto Campoo,,15.6,,5.3,
2020-10-15 13:00:00,1650.0,256.0,,261.0,,,,,95.0,9001S,,43.036667,-4.374447,,,,0.1,834.8,,,215.0,,,,,0.0,0.3,0.0,-0.7,,,,Alto Campoo,,13.3,,4.4,
2020-10-15 14:00:00,1650.0,255.0,,254.0,,,,,89.0,9001S,,43.036667,-4.374447,,,,0.2,834.7,,,217.0,,,,,0.1,0.4,0.0,-1.4,,,,Alto Campoo,,13.5,,5.1,
2020-10-15 15:00:00,1650.0,297.0,,227.0,,,,,95.0,9001S,,43.036667,-4.374447,,,,2.0,834.7,,,167.0,,,,,-0.2,0.1,-0.2,-1.0,,,,Alto Campoo,,14.0,,5.2,
2020-10-15 16:00:00,1650.0,52.0,,188.0,,,,,87.0,9001S,,43.036667,-4.374447,,,,0.1,835.5,,,192.0,,,,,-0.3,-0.1,-0.4,-2.2,,,,Alto Campoo,,14.8,,3.8,
