fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,513.0,210.0,,200.0,,,,,94.0,9091R,0.0,42.871933,-2.732913,,,,0.0,957.4,1018.5,,,13.0,,0.6,,5.8,7.6,5.7,5.0,5.3,,,VITORIA/FORONDA,,3.6,,2.2,
2020-10-14 20:00:00,513.0,280.0,,330.0,,,,,93.0,9091R,0.0,42.871933,-2.732913,,,,0.0,957.4,1018.4,,,133.0,,0.5,,6.5,6.7,6.1,5.5,4.9,,,VITORIA/FORONDA,,3.1,,1.4,
2020-10-14 21:00:00,513.0,220.0,,240.0,,,,,97.0,9091R,0.0,42.871933,-2.732913,,,,0.0,958.0,1019.3,,,66.0,,0.7,,5.0,6.6,4.8,4.6,4.5,,,VITORIA/FORONDA,,3.6,,1.5,
2020-10-14 22:00:00,513.0,210.0,,180.0,,,,,97.0,9091R,0.0,42.871933,-2.732913,,,,0.0,958.0,1019.4,,,17.0,,0.2,,4.7,5.5,4.4,4.3,3.5,,,VITORIA/FORONDA,,3.1,,1.2,
2020-10-14 23:00:00,513.0,230.0,,240.0,,,,,98.0,9091R,0.0,42.871933,-2.732913,,,,0.0,958.1,1019.5,,,17.0,,0.4,,4.9,5.4,4.3,4.6,3.0,,,VITORIA/FORONDA,,2.6,,1.5,
2020-10-15 00:00:00,513.0,260.0,,290.0,,,,,97.0,9091R,0.0,42.871933,-2.732913,,,,0.0,958.4,1019.7,,,50.0,,0.2,,5.1,5.3,4.7,4.6,3.0,,,VITORIA/FORONDA,,3.6,,0.4,
2020-10-15 01:00:00,513.0,320.0,,320.0,,,,,97.0,9091R,0.0,42.871933,-2.732913,,,,0.0,958.4,1019.8,,,100.0,,0.2,,4.8,5.5,4.6,4.3,1.8,,,VITORIA/FORONDA,,2.6,,1.2,
2020-10-15 02:00:00,513.0,270.0,,260.0,,,,,96.0,9091R,0.0,42.871933,-2.732913,,,,0.0,958.2,1019.5,,,9.0,,0.6,,5.4,6.0,4.7,4.8,3.1,,,VITORIA/FORONDA,,3.1,,1.7,
2020-10-15 03:00:00,513.0,260.0,,240.0,,,,,98.0,9091R,0.0,42.871933,-2.732913,,,,0.0,958.0,1019.3,,,25.0,,0.3,,5.1,5.5,5.0,4.8,5.3,,,VITORIA/FORONDA,,3.1,,0.8,
2020-10-15 04:00:00,513.0,290.0,,210.0,,,,,99.0,9091R,0.0,42.871933,-2.732913,,,,0.7,958.1,1019.2,,,27.0,,0.4,,5.9,5.9,5.1,5.8,6.2,,,VITORIA/FORONDA,,2.6,,1.0,
