fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,500.0,242.0,,288.0,,,,,89.0,9141V,,42.41403,-2.726758,,,,0.2,,,,,,,,,8.8,8.9,8.7,,,,,NAJERA,,2.8,,0.8,
2020-10-14 20:00:00,500.0,285.0,,310.0,,,,,89.0,9141V,,42.41403,-2.726758,,,,0.2,,,,,,,,,8.6,8.8,8.6,,,,,NAJERA,,2.1,,0.9,
2020-10-14 21:00:00,500.0,247.0,,241.0,,,,,91.0,9141V,,42.41403,-2.726758,,,,0.4,,,,,,,,,8.1,8.6,8.1,,,,,NAJERA,,2.9,,1.4,
2020-10-14 22:00:00,500.0,297.0,,267.0,,,,,89.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,8.1,8.1,8.0,,,,,NAJERA,,3.2,,0.7,
2020-10-14 23:00:00,500.0,232.0,,252.0,,,,,90.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,7.4,8.2,7.4,,,,,NAJERA,,2.8,,0.8,
2020-10-15 00:00:00,500.0,257.0,,273.0,,,,,91.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,7.3,7.4,7.1,,,,,NAJERA,,2.8,,1.2,
2020-10-15 01:00:00,500.0,287.0,,284.0,,,,,87.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,8.0,8.0,7.4,,,,,NAJERA,,3.6,,1.4,
2020-10-15 02:00:00,500.0,275.0,,249.0,,,,,85.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,8.0,8.1,8.0,,,,,NAJERA,,4.4,,1.0,
2020-10-15 03:00:00,500.0,257.0,,258.0,,,,,88.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,7.0,7.9,7.0,,,,,NAJERA,,3.3,,1.3,
2020-10-15 04:00:00,500.0,252.0,,234.0,,,,,88.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,6.8,7.2,6.8,,,,,NAJERA,,3.4,,0.6,
2020-10-15 05:00:00,500.0,267.0,,208.0,,,,,90.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,7.0,7.0,6.6,,,,,NAJERA,,1.9,,0.9,
2020-10-15 06:00:00,500.0,272.0,,250.0,,,,,89.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,7.4,7.4,6.9,,,,,NAJERA,,1.7,,0.7,
2020-10-15 07:00:00,500.0,217.0,,239.0,,,,,87.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,8.1,8.1,7.6,,,,,NAJERA,,5.8,,2.5,
2020-10-15 08:00:00,500.0,262.0,,268.0,,,,,84.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,8.9,8.9,8.2,,,,,NAJERA,,6.2,,3.8,
2020-10-15 09:00:00,500.0,260.0,,277.0,,,,,75.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,10.0,10.0,9.2,,,,,NAJERA,,7.9,,3.1,
2020-10-15 10:00:00,500.0,307.0,,341.0,,,,,79.0,9141V,,42.41403,-2.726758,,,,0.4,,,,,,,,,10.1,10.7,10.1,,,,,NAJERA,,7.2,,1.9,
2020-10-15 11:00:00,500.0,290.0,,290.0,,,,,84.0,9141V,,42.41403,-2.726758,,,,0.2,,,,,,,,,8.7,9.5,8.6,,,,,NAJERA,,5.4,,1.2,
2020-10-15 12:00:00,500.0,220.0,,257.0,,,,,77.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,9.9,9.9,8.9,,,,,NAJERA,,2.9,,1.5,
2020-10-15 13:00:00,500.0,277.0,,348.0,,,,,75.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,10.4,10.4,10.0,,,,,NAJERA,,4.0,,0.8,
2020-10-15 14:00:00,500.0,287.0,,339.0,,,,,79.0,9141V,,42.41403,-2.726758,,,,0.6,,,,,,,,,9.1,10.3,8.9,,,,,NAJERA,,6.8,,2.0,
2020-10-15 15:00:00,500.0,17.0,,282.0,,,,,77.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,9.0,9.2,9.0,,,,,NAJERA,,6.8,,2.0,
2020-10-15 16:00:00,500.0,285.0,,309.0,,,,,75.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,9.1,9.1,9.0,,,,,NAJERA,,6.4,,2.8,
2020-10-15 17:00:00,500.0,302.0,,285.0,,,,,75.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,8.9,9.2,8.9,,,,,NAJERA,,5.1,,2.0,
2020-10-15 18:00:00,500.0,262.0,,281.0,,,,,75.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,8.6,8.9,8.6,,,,,NAJERA,,4.8,,1.6,
2020-10-14 21:00:00,500.0,247.0,,241.0,,,,,91.0,9141V,,42.41403,-2.7267580000000002,,,,0.4,,,,,,,,,8.1,8.6,8.1,,,,,NAJERA,,2.9,,1.4,
2020-10-14 22:00:00,500.0,297.0,,267.0,,,,,89.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,8.1,8.1,8.0,,,,,NAJERA,,3.2,,0.7,
2020-10-14 23:00:00,500.0,232.0,,252.0,,,,,90.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,7.4,8.2,7.4,,,,,NAJERA,,2.8,,0.8,
2020-10-15 00:00:00,500.0,257.0,,273.0,,,,,91.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,7.3,7.4,7.1,,,,,NAJERA,,2.8,,1.2,
2020-10-15 01:00:00,500.0,287.0,,284.0,,,,,87.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,8.0,8.0,7.4,,,,,NAJERA,,3.6,,1.4,
2020-10-15 02:00:00,500.0,275.0,,249.0,,,,,85.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,8.0,8.1,8.0,,,,,NAJERA,,4.4,,1.0,
2020-10-15 03:00:00,500.0,257.0,,258.0,,,,,88.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,7.0,7.9,7.0,,,,,NAJERA,,3.3,,1.3,
2020-10-15 04:00:00,500.0,252.0,,234.0,,,,,88.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,6.8,7.2,6.8,,,,,NAJERA,,3.4,,0.6,
2020-10-15 05:00:00,500.0,267.0,,208.0,,,,,90.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,7.0,7.0,6.6,,,,,NAJERA,,1.9,,0.9,
2020-10-15 06:00:00,500.0,272.0,,250.0,,,,,89.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,7.4,7.4,6.9,,,,,NAJERA,,1.7,,0.7,
2020-10-15 07:00:00,500.0,217.0,,239.0,,,,,87.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,8.1,8.1,7.6,,,,,NAJERA,,5.8,,2.5,
2020-10-15 08:00:00,500.0,262.0,,268.0,,,,,84.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,8.9,8.9,8.2,,,,,NAJERA,,6.2,,3.8,
2020-10-15 09:00:00,500.0,260.0,,277.0,,,,,75.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,10.0,10.0,9.2,,,,,NAJERA,,7.9,,3.1,
2020-10-15 10:00:00,500.0,307.0,,341.0,,,,,79.0,9141V,,42.41403,-2.7267580000000002,,,,0.4,,,,,,,,,10.1,10.7,10.1,,,,,NAJERA,,7.2,,1.9,
2020-10-15 11:00:00,500.0,290.0,,290.0,,,,,84.0,9141V,,42.41403,-2.7267580000000002,,,,0.2,,,,,,,,,8.7,9.5,8.6,,,,,NAJERA,,5.4,,1.2,
2020-10-15 12:00:00,500.0,220.0,,257.0,,,,,77.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,9.9,9.9,8.9,,,,,NAJERA,,2.9,,1.5,
2020-10-15 13:00:00,500.0,277.0,,348.0,,,,,75.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,10.4,10.4,10.0,,,,,NAJERA,,4.0,,0.8,
2020-10-15 14:00:00,500.0,287.0,,339.0,,,,,79.0,9141V,,42.41403,-2.7267580000000002,,,,0.6,,,,,,,,,9.1,10.3,8.9,,,,,NAJERA,,6.8,,2.0,
2020-10-15 15:00:00,500.0,17.0,,282.0,,,,,77.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,9.0,9.2,9.0,,,,,NAJERA,,6.8,,2.0,
2020-10-15 16:00:00,500.0,285.0,,309.0,,,,,75.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,9.1,9.1,9.0,,,,,NAJERA,,6.4,,2.8,
2020-10-15 17:00:00,500.0,302.0,,285.0,,,,,75.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,8.9,9.2,8.9,,,,,NAJERA,,5.1,,2.0,
2020-10-15 18:00:00,500.0,262.0,,281.0,,,,,75.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,8.6,8.9,8.6,,,,,NAJERA,,4.8,,1.6,
2020-10-15 19:00:00,500.0,310.0,,294.0,,,,,77.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,8.2,8.5,8.2,,,,,NAJERA,,5.8,,2.9,
2020-10-15 20:00:00,500.0,285.0,,284.0,,,,,78.0,9141V,,42.41403,-2.7267580000000002,,,,0.0,,,,,,,,,7.9,8.2,7.9,,,,,NAJERA,,5.4,,1.3,
2020-10-15 19:00:00,500.0,310.0,,294.0,,,,,77.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,8.2,8.5,8.2,,,,,NAJERA,,5.8,,2.9,
2020-10-15 20:00:00,500.0,285.0,,284.0,,,,,78.0,9141V,,42.41403,-2.726758,,,,0.0,,,,,,,,,7.9,8.2,7.9,,,,,NAJERA,,5.4,,1.3,
