fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,635.0,50.0,,37.0,,,,,89.0,9228J,,42.89624,-1.300216,,,,0.4,,,,,,,,,5.9,6.6,5.9,,,,,OROZ-BETELU,,6.3,,2.6,
2020-10-14 20:00:00,635.0,357.0,,31.0,,,,,90.0,9228J,,42.89624,-1.300216,,,,1.2,,,,,,,,,6.0,6.0,5.6,,,,,OROZ-BETELU,,5.3,,2.7,
2020-10-14 21:00:00,635.0,47.0,,67.0,,,,,90.0,9228J,,42.89624,-1.300216,,,,1.2,,,,,,,,,5.7,5.9,5.6,,,,,OROZ-BETELU,,5.2,,1.5,
2020-10-14 22:00:00,635.0,42.0,,49.0,,,,,90.0,9228J,,42.89624,-1.300216,,,,2.0,,,,,,,,,5.2,6.0,5.2,,,,,OROZ-BETELU,,8.3,,3.6,
2020-10-14 23:00:00,635.0,65.0,,42.0,,,,,92.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,4.7,5.1,4.7,,,,,OROZ-BETELU,,4.2,,0.6,
2020-10-15 00:00:00,635.0,7.0,,296.0,,,,,95.0,9228J,,42.89624,-1.300216,,,,0.2,,,,,,,,,4.2,4.6,4.2,,,,,OROZ-BETELU,,1.5,,0.4,
2020-10-15 01:00:00,635.0,30.0,,30.0,,,,,97.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,4.4,4.5,4.1,,,,,OROZ-BETELU,,1.7,,0.7,
2020-10-15 02:00:00,635.0,25.0,,79.0,,,,,97.0,9228J,,42.89624,-1.300216,,,,0.2,,,,,,,,,5.0,5.0,4.5,,,,,OROZ-BETELU,,2.5,,1.6,
2020-10-15 03:00:00,635.0,55.0,,68.0,,,,,90.0,9228J,,42.89624,-1.300216,,,,0.2,,,,,,,,,5.7,5.8,5.2,,,,,OROZ-BETELU,,6.8,,1.4,
2020-10-15 04:00:00,635.0,60.0,,40.0,,,,,91.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,6.0,6.0,5.7,,,,,OROZ-BETELU,,4.2,,1.4,
2020-10-15 05:00:00,635.0,32.0,,63.0,,,,,88.0,9228J,,42.89624,-1.300216,,,,0.6,,,,,,,,,6.0,6.1,5.8,,,,,OROZ-BETELU,,6.6,,2.3,
2020-10-15 06:00:00,635.0,45.0,,351.0,,,,,92.0,9228J,,42.89624,-1.300216,,,,0.4,,,,,,,,,4.6,5.8,4.6,,,,,OROZ-BETELU,,7.2,,0.7,
2020-10-15 07:00:00,635.0,102.0,,75.0,,,,,96.0,9228J,,42.89624,-1.300216,,,,0.4,,,,,,,,,4.8,4.8,4.5,,,,,OROZ-BETELU,,1.3,,0.3,
2020-10-15 08:00:00,635.0,82.0,,84.0,,,,,86.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,5.8,5.8,4.8,,,,,OROZ-BETELU,,6.4,,2.3,
2020-10-15 09:00:00,635.0,175.0,,161.0,,,,,79.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,7.5,7.6,5.9,,,,,OROZ-BETELU,,5.1,,2.6,
2020-10-15 10:00:00,635.0,22.0,,25.0,,,,,67.0,9228J,,42.89624,-1.300216,,,,0.2,,,,,,,,,8.6,8.6,7.6,,,,,OROZ-BETELU,,8.3,,4.0,
2020-10-15 11:00:00,635.0,27.0,,41.0,,,,,64.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,9.3,9.3,8.9,,,,,OROZ-BETELU,,8.5,,4.3,
2020-10-15 12:00:00,635.0,37.0,,33.0,,,,,62.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,9.9,9.9,9.2,,,,,OROZ-BETELU,,9.3,,5.3,
2020-10-15 13:00:00,635.0,22.0,,31.0,,,,,62.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,9.4,10.2,9.4,,,,,OROZ-BETELU,,10.6,,4.5,
2020-10-15 14:00:00,635.0,52.0,,12.0,,,,,68.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,9.0,9.0,8.5,,,,,OROZ-BETELU,,8.2,,3.5,
2020-10-15 15:00:00,635.0,37.0,,48.0,,,,,63.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,9.7,9.9,9.0,,,,,OROZ-BETELU,,8.5,,3.8,
2020-10-15 16:00:00,635.0,10.0,,39.0,,,,,65.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,9.2,9.5,9.2,,,,,OROZ-BETELU,,9.3,,5.2,
2020-10-15 17:00:00,635.0,32.0,,357.0,,,,,73.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,7.7,8.5,7.7,,,,,OROZ-BETELU,,7.4,,4.8,
2020-10-15 18:00:00,635.0,45.0,,31.0,,,,,82.0,9228J,,42.89624,-1.300216,,,,0.2,,,,,,,,,6.2,7.6,6.2,,,,,OROZ-BETELU,,7.2,,2.2,
2020-10-15 19:00:00,635.0,47.0,,34.0,,,,,80.0,9228J,,42.89624,-1.300216,,,,0.0,,,,,,,,,5.9,6.2,5.9,,,,,OROZ-BETELU,,8.0,,2.5,
