fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,947.0,320.0,,256.0,,,,,98.0,9228T,,43.007877,-1.325557,,,,0.8,,,,,,,,,3.9,4.1,3.9,,,,,RONCESVALLES,,3.3,,1.1,
2020-10-14 20:00:00,947.0,187.0,,226.0,,,,,99.0,9228T,,43.007877,-1.325557,,,,2.2,,,,,,,,,3.5,4.1,3.5,,,,,RONCESVALLES,,5.7,,1.1,
2020-10-14 21:00:00,947.0,225.0,,114.0,,,,,99.0,9228T,,43.007877,-1.325557,,,,0.8,,,,,,,,,3.9,3.9,3.6,,,,,RONCESVALLES,,3.6,,0.9,
2020-10-14 22:00:00,947.0,0.0,,199.0,,,,,100.0,9228T,,43.007877,-1.325557,,,,4.8,,,,,,,,,2.6,3.9,2.3,,,,,RONCESVALLES,,4.6,,1.0,
2020-10-14 23:00:00,947.0,172.0,,164.0,,,,,100.0,9228T,,43.007877,-1.325557,,,,1.0,,,,,,,,,3.1,3.1,2.7,,,,,RONCESVALLES,,4.3,,1.0,
2020-10-15 00:00:00,947.0,217.0,,188.0,,,,,100.0,9228T,,43.007877,-1.325557,,,,0.8,,,,,,,,,3.3,3.3,3.2,,,,,RONCESVALLES,,2.6,,0.9,
2020-10-15 01:00:00,947.0,340.0,,197.0,,,,,100.0,9228T,,43.007877,-1.325557,,,,0.6,,,,,,,,,3.5,3.5,3.4,,,,,RONCESVALLES,,4.5,,1.0,
2020-10-15 02:00:00,947.0,115.0,,182.0,,,,,100.0,9228T,,43.007877,-1.325557,,,,0.6,,,,,,,,,3.5,3.6,3.5,,,,,RONCESVALLES,,2.8,,0.6,
2020-10-15 03:00:00,947.0,97.0,,95.0,,,,,99.0,9228T,,43.007877,-1.325557,,,,0.6,,,,,,,,,3.6,3.6,3.4,,,,,RONCESVALLES,,3.1,,0.8,
2020-10-15 04:00:00,947.0,312.0,,7.0,,,,,99.0,9228T,,43.007877,-1.325557,,,,0.8,,,,,,,,,3.8,3.8,3.6,,,,,RONCESVALLES,,3.6,,1.0,
2020-10-15 05:00:00,947.0,97.0,,234.0,,,,,99.0,9228T,,43.007877,-1.325557,,,,2.4,,,,,,,,,2.4,3.9,2.4,,,,,RONCESVALLES,,4.9,,0.8,
2020-10-15 06:00:00,947.0,235.0,,199.0,,,,,100.0,9228T,,43.007877,-1.325557,,,,0.2,,,,,,,,,2.8,2.8,2.4,,,,,RONCESVALLES,,2.2,,0.3,
2020-10-15 07:00:00,947.0,325.0,,323.0,,,,,98.0,9228T,,43.007877,-1.325557,,,,1.6,,,,,,,,,2.7,3.0,2.7,,,,,RONCESVALLES,,6.8,,1.5,
2020-10-15 08:00:00,947.0,310.0,,338.0,,,,,98.0,9228T,,43.007877,-1.325557,,,,0.4,,,,,,,,,3.3,3.3,2.7,,,,,RONCESVALLES,,4.8,,1.3,
2020-10-15 09:00:00,947.0,320.0,,258.0,,,,,96.0,9228T,,43.007877,-1.325557,,,,0.0,,,,,,,,,4.7,4.9,3.5,,,,,RONCESVALLES,,4.3,,1.1,
2020-10-15 10:00:00,947.0,80.0,,114.0,,,,,89.0,9228T,,43.007877,-1.325557,,,,0.0,,,,,,,,,5.6,5.6,4.2,,,,,RONCESVALLES,,6.4,,1.7,
2020-10-15 11:00:00,947.0,57.0,,83.0,,,,,83.0,9228T,,43.007877,-1.325557,,,,0.0,,,,,,,,,6.6,6.6,5.5,,,,,RONCESVALLES,,6.6,,2.2,
2020-10-15 12:00:00,947.0,92.0,,251.0,,,,,79.0,9228T,,43.007877,-1.325557,,,,0.0,,,,,,,,,7.0,7.0,6.0,,,,,RONCESVALLES,,6.8,,1.1,
2020-10-15 13:00:00,947.0,67.0,,108.0,,,,,83.0,9228T,,43.007877,-1.325557,,,,0.0,,,,,,,,,5.5,7.5,5.5,,,,,RONCESVALLES,,6.2,,1.5,
2020-10-15 14:00:00,947.0,330.0,,301.0,,,,,88.0,9228T,,43.007877,-1.325557,,,,0.2,,,,,,,,,5.4,5.6,4.4,,,,,RONCESVALLES,,6.3,,1.3,
2020-10-15 15:00:00,947.0,115.0,,285.0,,,,,82.0,9228T,,43.007877,-1.325557,,,,0.0,,,,,,,,,6.3,6.4,5.8,,,,,RONCESVALLES,,5.5,,1.7,
2020-10-15 16:00:00,947.0,87.0,,142.0,,,,,92.0,9228T,,43.007877,-1.325557,,,,0.0,,,,,,,,,5.1,5.9,5.1,,,,,RONCESVALLES,,4.9,,2.2,
2020-10-15 17:00:00,947.0,150.0,,129.0,,,,,94.0,9228T,,43.007877,-1.325557,,,,0.0,,,,,,,,,4.4,5.1,4.4,,,,,RONCESVALLES,,5.0,,1.8,
2020-10-15 18:00:00,947.0,122.0,,134.0,,,,,98.0,9228T,,43.007877,-1.325557,,,,0.2,,,,,,,,,3.3,4.2,3.3,,,,,RONCESVALLES,,6.2,,1.7,
2020-10-14 21:00:00,947.0,225.0,,114.0,,,,,99.0,9228T,,43.007877,-1.3255569999999999,,,,0.8,,,,,,,,,3.9,3.9,3.6,,,,,RONCESVALLES,,3.6,,0.9,
2020-10-14 22:00:00,947.0,0.0,,199.0,,,,,100.0,9228T,,43.007877,-1.3255569999999999,,,,4.8,,,,,,,,,2.6,3.9,2.3,,,,,RONCESVALLES,,4.6,,1.0,
2020-10-14 23:00:00,947.0,172.0,,164.0,,,,,100.0,9228T,,43.007877,-1.3255569999999999,,,,1.0,,,,,,,,,3.1,3.1,2.7,,,,,RONCESVALLES,,4.3,,1.0,
2020-10-15 00:00:00,947.0,217.0,,188.0,,,,,100.0,9228T,,43.007877,-1.3255569999999999,,,,0.8,,,,,,,,,3.3,3.3,3.2,,,,,RONCESVALLES,,2.6,,0.9,
2020-10-15 01:00:00,947.0,340.0,,197.0,,,,,100.0,9228T,,43.007877,-1.3255569999999999,,,,0.6,,,,,,,,,3.5,3.5,3.4,,,,,RONCESVALLES,,4.5,,1.0,
2020-10-15 02:00:00,947.0,115.0,,182.0,,,,,100.0,9228T,,43.007877,-1.3255569999999999,,,,0.6,,,,,,,,,3.5,3.6,3.5,,,,,RONCESVALLES,,2.8,,0.6,
2020-10-15 03:00:00,947.0,97.0,,95.0,,,,,99.0,9228T,,43.007877,-1.3255569999999999,,,,0.6,,,,,,,,,3.6,3.6,3.4,,,,,RONCESVALLES,,3.1,,0.8,
2020-10-15 04:00:00,947.0,312.0,,7.0,,,,,99.0,9228T,,43.007877,-1.3255569999999999,,,,0.8,,,,,,,,,3.8,3.8,3.6,,,,,RONCESVALLES,,3.6,,1.0,
2020-10-15 05:00:00,947.0,97.0,,234.0,,,,,99.0,9228T,,43.007877,-1.3255569999999999,,,,2.4,,,,,,,,,2.4,3.9,2.4,,,,,RONCESVALLES,,4.9,,0.8,
2020-10-15 06:00:00,947.0,235.0,,199.0,,,,,100.0,9228T,,43.007877,-1.3255569999999999,,,,0.2,,,,,,,,,2.8,2.8,2.4,,,,,RONCESVALLES,,2.2,,0.3,
2020-10-15 07:00:00,947.0,325.0,,323.0,,,,,98.0,9228T,,43.007877,-1.3255569999999999,,,,1.6,,,,,,,,,2.7,3.0,2.7,,,,,RONCESVALLES,,6.8,,1.5,
2020-10-15 08:00:00,947.0,310.0,,338.0,,,,,98.0,9228T,,43.007877,-1.3255569999999999,,,,0.4,,,,,,,,,3.3,3.3,2.7,,,,,RONCESVALLES,,4.8,,1.3,
2020-10-15 09:00:00,947.0,320.0,,258.0,,,,,96.0,9228T,,43.007877,-1.3255569999999999,,,,0.0,,,,,,,,,4.7,4.9,3.5,,,,,RONCESVALLES,,4.3,,1.1,
2020-10-15 10:00:00,947.0,80.0,,114.0,,,,,89.0,9228T,,43.007877,-1.3255569999999999,,,,0.0,,,,,,,,,5.6,5.6,4.2,,,,,RONCESVALLES,,6.4,,1.7,
2020-10-15 11:00:00,947.0,57.0,,83.0,,,,,83.0,9228T,,43.007877,-1.3255569999999999,,,,0.0,,,,,,,,,6.6,6.6,5.5,,,,,RONCESVALLES,,6.6,,2.2,
2020-10-15 12:00:00,947.0,92.0,,251.0,,,,,79.0,9228T,,43.007877,-1.3255569999999999,,,,0.0,,,,,,,,,7.0,7.0,6.0,,,,,RONCESVALLES,,6.8,,1.1,
2020-10-15 13:00:00,947.0,67.0,,108.0,,,,,83.0,9228T,,43.007877,-1.3255569999999999,,,,0.0,,,,,,,,,5.5,7.5,5.5,,,,,RONCESVALLES,,6.2,,1.5,
2020-10-15 14:00:00,947.0,330.0,,301.0,,,,,88.0,9228T,,43.007877,-1.3255569999999999,,,,0.2,,,,,,,,,5.4,5.6,4.4,,,,,RONCESVALLES,,6.3,,1.3,
