fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,572.0,10.0,,324.0,,,,,78.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,61.0,,,,,7.4,7.8,7.3,3.8,,,,ILUNDAIN,,4.7,,0.5,
2020-10-14 20:00:00,572.0,321.0,,307.0,,,,,83.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,28.0,,,,,6.2,7.4,6.2,3.6,,,,ILUNDAIN,,3.1,,0.1,
2020-10-14 21:00:00,572.0,251.0,,103.0,,,,,87.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,15.0,,,,,6.5,6.5,6.1,4.5,,,,ILUNDAIN,,2.3,,0.4,
2020-10-14 22:00:00,572.0,248.0,,233.0,,,,,88.0,9263X,,42.7761,-1.5324870000000002,,,,0.7,,,,30.0,,,,,6.5,6.7,6.4,4.6,,,,ILUNDAIN,,2.2,,1.1,
2020-10-14 23:00:00,572.0,253.0,,284.0,,,,,89.0,9263X,,42.7761,-1.5324870000000002,,,,0.6,,,,19.0,,,,,6.7,6.8,6.5,5.0,,,,ILUNDAIN,,1.8,,0.1,
2020-10-15 00:00:00,572.0,17.0,,1.0,,,,,90.0,9263X,,42.7761,-1.5324870000000002,,,,0.2,,,,7.0,,,,,6.3,6.8,6.3,4.8,,,,ILUNDAIN,,2.5,,0.9,
2020-10-15 01:00:00,572.0,26.0,,18.0,,,,,86.0,9263X,,42.7761,-1.5324870000000002,,,,0.1,,,,59.0,,,,,6.8,6.9,6.3,4.6,,,,ILUNDAIN,,4.3,,1.9,
2020-10-15 02:00:00,572.0,8.0,,326.0,,,,,86.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,48.0,,,,,6.7,6.9,6.6,4.5,,,,ILUNDAIN,,3.8,,0.6,
2020-10-15 03:00:00,572.0,211.0,,254.0,,,,,88.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,18.0,,,,,6.6,6.6,6.2,4.8,,,,ILUNDAIN,,1.9,,0.3,
2020-10-15 04:00:00,572.0,353.0,,344.0,,,,,89.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,9.0,,,,,6.6,6.7,6.5,5.0,,,,ILUNDAIN,,1.5,,0.6,
2020-10-15 05:00:00,572.0,263.0,,329.0,,,,,89.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,38.0,,,,,6.8,6.9,6.5,5.1,,,,ILUNDAIN,,2.7,,0.3,
2020-10-15 06:00:00,572.0,263.0,,194.0,,,,,89.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,9.0,,,,,6.8,6.9,6.7,5.1,,,,ILUNDAIN,,1.3,,0.0,
2020-10-15 07:00:00,572.0,77.0,,48.0,,,,,89.0,9263X,,42.7761,-1.5324870000000002,,,,0.3,,,,9.0,,,,,6.8,6.9,6.7,5.1,,,,ILUNDAIN,,2.5,,0.6,
2020-10-15 08:00:00,572.0,37.0,,17.0,,,,,83.0,9263X,,42.7761,-1.5324870000000002,,,,1.7,,,,65.0,,,,,6.1,6.8,6.1,3.4,,,,ILUNDAIN,,6.2,,1.8,
2020-10-15 09:00:00,572.0,348.0,,335.0,,,,,80.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,83.0,,,,,7.1,7.2,6.1,3.9,,,,ILUNDAIN,,5.2,,2.3,
2020-10-15 10:00:00,572.0,320.0,,328.0,,,,,72.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,76.0,,,,,9.1,9.1,7.0,4.3,,,,ILUNDAIN,,3.9,,1.7,
2020-10-15 11:00:00,572.0,274.0,,323.0,,,,,67.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,91.0,,,,,9.7,9.8,8.8,3.9,,,,ILUNDAIN,,4.6,,2.6,
2020-10-15 12:00:00,572.0,330.0,,329.0,,,,,64.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,103.0,,,,,10.6,10.7,9.5,4.1,,,,ILUNDAIN,,5.8,,2.9,
2020-10-15 13:00:00,572.0,340.0,,326.0,,,,,58.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,120.0,,,,,11.8,11.9,10.7,3.8,,,,ILUNDAIN,,6.7,,3.1,
2020-10-15 14:00:00,572.0,340.0,,357.0,,,,,68.0,9263X,,42.7761,-1.5324870000000002,,,,0.1,,,,137.0,,,,,10.0,11.7,9.2,4.3,,,,ILUNDAIN,,7.7,,2.5,
2020-10-15 15:00:00,572.0,357.0,,0.0,,,,,60.0,9263X,,42.7761,-1.5324870000000002,,,,0.0,,,,117.0,,,,,10.9,10.9,9.3,3.4,,,,ILUNDAIN,,7.4,,1.8,
