fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,1800.0,,,,,,,,95.0,9445L,,42.775833,-0.36,61.6,,,0.6,,,,,,,,,-1.8,-1.8,-1.9,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-14 20:00:00,1800.0,,,,,,,,86.0,9445L,,42.775833,-0.36,65.7,,,0.2,,,,,,,,,-1.6,-1.6,-2.1,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-14 21:00:00,1800.0,,,,,,,,92.0,9445L,,42.775833,-0.36,66.1,,,0.0,,,,,,,,,-1.9,-1.4,-2.0,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-14 22:00:00,1800.0,,,,,,,,86.0,9445L,,42.775833,-0.36,63.9,,,0.0,,,,,,,,,-1.5,-1.5,-2.1,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-14 23:00:00,1800.0,,,,,,,,83.0,9445L,,42.775833,-0.36,64.9,,,0.0,,,,,,,,,-1.3,-1.2,-1.6,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 00:00:00,1800.0,,,,,,,,83.0,9445L,,42.775833,-0.36,64.7,,,0.0,,,,,,,,,-1.2,-1.1,-1.8,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 03:00:00,1800.0,,,,,,,,87.0,9445L,,42.775833,-0.36,60.8,,,0.0,,,,,,,,,-1.5,-1.2,-1.5,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 04:00:00,1800.0,,,,,,,,88.0,9445L,,42.775833,-0.36,61.8,,,0.0,,,,,,,,,-1.4,-1.1,-1.5,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 05:00:00,1800.0,,,,,,,,94.0,9445L,,42.775833,-0.36,60.1,,,0.0,,,,,,,,,-1.7,-1.4,-1.7,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 06:00:00,1800.0,,,,,,,,93.0,9445L,,42.775833,-0.36,59.1,,,0.0,,,,,,,,,-1.6,-1.2,-1.6,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 07:00:00,1800.0,,,,,,,,86.0,9445L,,42.775833,-0.36,61.2,,,0.0,,,,,,,,,-1.3,-1.3,-1.6,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 08:00:00,1800.0,,,,,,,,81.0,9445L,,42.775833,-0.36,53.5,,,0.0,,,,,,,,,-1.2,-1.1,-1.3,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 09:00:00,1800.0,,,,,,,,69.0,9445L,,42.775833,-0.36,57.5,,,0.0,,,,,,,,,-0.6,-0.4,-1.3,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 10:00:00,1800.0,,,,,,,,65.0,9445L,,42.775833,-0.36,54.1,,,0.0,,,,,,,,,0.0,0.3,-1.0,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 11:00:00,1800.0,,,,,,,,67.0,9445L,,42.775833,-0.36,54.2,,,0.0,,,,,,,,,-0.1,0.4,-0.5,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 12:00:00,1800.0,,,,,,,,69.0,9445L,,42.775833,-0.36,55.9,,,0.0,,,,,,,,,-0.8,0.1,-1.0,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 13:00:00,1800.0,,,,,,,,70.0,9445L,,42.775833,-0.36,55.4,,,0.0,,,,,,,,,-0.1,0.4,-0.8,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 14:00:00,1800.0,,,,,,,,68.0,9445L,,42.775833,-0.36,52.6,,,0.0,,,,,,,,,0.0,0.4,-0.2,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 15:00:00,1800.0,,,,,,,,74.0,9445L,,42.775833,-0.36,52.5,,,0.0,,,,,,,,,-0.3,0.6,-0.9,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 16:00:00,1800.0,,,,,,,,84.0,9445L,,42.775833,-0.36,52.5,,,0.0,,,,,,,,,-1.1,-0.1,-1.2,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 17:00:00,1800.0,,,,,,,,74.0,9445L,,42.775833,-0.36,53.0,,,0.0,,,,,,,,,-1.1,-0.8,-1.2,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 18:00:00,1800.0,,,,,,,,71.0,9445L,,42.775833,-0.36,52.6,,,0.0,,,,,,,,,-1.5,-1.1,-1.6,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 19:00:00,1800.0,,,,,,,,67.0,9445L,,42.775833,-0.36,51.6,,,0.0,,,,,,,,,-1.8,-1.6,-1.9,,,,,FORMIGAL-SARRIOS,,,,,
2020-10-15 20:00:00,1800.0,,,,,,,,69.0,9445L,,42.775833,-0.36,50.9,,,0.0,,,,,,,,,-2.0,-1.8,-2.3,,,,,FORMIGAL-SARRIOS,,,,,
