fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,1905.0,23.0,,38.0,,,,,96.0,9814I,,42.656113,-0.124444,149.6,,,0.0,,,,,48.0,,1.3,,-2.4,-2.3,-2.5,,,,,TORLA-EL CEBOLLAR,,8.5,,1.9,
2020-10-14 20:00:00,1905.0,6.0,,21.0,,,,,98.0,9814I,,42.656113,-0.124444,,,,0.4,,,,,38.0,,1.5,,-2.5,-2.3,-2.8,,,,,TORLA-EL CEBOLLAR,,13.3,,2.5,
2020-10-14 21:00:00,1905.0,17.0,,13.0,,,,,98.0,9814I,,42.656113,-0.124444,,,,0.2,,,,,19.0,,1.9,,-2.9,-2.5,-3.0,,,,,TORLA-EL CEBOLLAR,,12.2,,6.2,
2020-10-14 22:00:00,1905.0,19.0,,15.0,,,,,97.0,9814I,,42.656113,-0.124444,,,,0.0,,,,,60.0,,1.1,,-2.8,-2.7,-3.0,,,,,TORLA-EL CEBOLLAR,,9.9,,1.4,
2020-10-14 23:00:00,1905.0,341.0,,24.0,,,,,96.0,9814I,,42.656113,-0.124444,28.4,,,0.0,,,,,56.0,,1.2,,-2.5,-2.3,-2.8,,,,,TORLA-EL CEBOLLAR,,9.6,,1.8,
2020-10-15 00:00:00,1905.0,95.0,,20.0,,,,,96.0,9814I,,42.656113,-0.124444,24.8,,,0.0,,,,,61.0,,1.1,,-2.5,-2.3,-2.5,,,,,TORLA-EL CEBOLLAR,,8.5,,1.4,
2020-10-15 01:00:00,1905.0,44.0,,22.0,,,,,94.0,9814I,,42.656113,-0.124444,24.3,,,0.0,,,,,61.0,,1.4,,-2.2,-2.0,-2.5,,,,,TORLA-EL CEBOLLAR,,9.1,,2.0,
2020-10-15 02:00:00,1905.0,23.0,,23.0,,,,,89.0,9814I,,42.656113,-0.124444,23.7,,,0.0,,,,,65.0,,1.3,,-2.0,-2.0,-2.2,,,,,TORLA-EL CEBOLLAR,,8.8,,2.0,
2020-10-15 03:00:00,1905.0,59.0,,46.0,,,,,82.0,9814I,,42.656113,-0.124444,25.5,,,0.0,,,,,73.0,,1.4,,-1.6,-1.5,-2.0,,,,,TORLA-EL CEBOLLAR,,9.7,,1.5,
2020-10-15 04:00:00,1905.0,25.0,,82.0,,,,,78.0,9814I,,42.656113,-0.124444,21.9,,,0.0,,,,,77.0,,1.0,,-1.5,-1.5,-1.7,,,,,TORLA-EL CEBOLLAR,,6.6,,1.2,
2020-10-15 05:00:00,1905.0,9.0,,30.0,,,,,80.0,9814I,,42.656113,-0.124444,21.3,,,0.0,,,,,74.0,,1.0,,-1.5,-1.5,-1.6,,,,,TORLA-EL CEBOLLAR,,7.3,,1.3,
2020-10-15 06:00:00,1905.0,84.0,,16.0,,,,,84.0,9814I,,42.656113,-0.124444,25.8,,,0.0,,,,,72.0,,1.1,,-1.6,-1.5,-1.6,,,,,TORLA-EL CEBOLLAR,,8.8,,1.2,
2020-10-15 07:00:00,1905.0,24.0,,32.0,,,,,81.0,9814I,,42.656113,-0.124444,19.5,,,0.0,,,,,82.0,,1.2,,-1.2,-1.1,-1.6,,,,,TORLA-EL CEBOLLAR,,6.5,,1.3,
2020-10-15 08:00:00,1905.0,36.0,,24.0,,,,,80.0,9814I,,42.656113,-0.124444,16.1,,,0.0,,,,,66.0,,1.2,,-0.4,-0.3,-1.4,,,,,TORLA-EL CEBOLLAR,,8.0,,1.4,
2020-10-15 09:00:00,1905.0,343.0,,60.0,,,,,70.0,9814I,,42.656113,-0.124444,,,,0.2,,,,,66.0,,1.3,,-0.3,-0.1,-1.0,,,,,TORLA-EL CEBOLLAR,,9.3,,1.8,
2020-10-15 10:00:00,1905.0,48.0,,45.0,,,,,59.0,9814I,,42.656113,-0.124444,6.7,,,0.0,,,,,72.0,,1.5,,1.1,1.2,-0.1,,,,,TORLA-EL CEBOLLAR,,9.2,,1.9,
2020-10-15 11:00:00,1905.0,51.0,,38.0,,,,,67.0,9814I,,42.656113,-0.124444,11.1,,,0.0,,,,,71.0,,1.4,,-1.3,1.1,-1.4,,,,,TORLA-EL CEBOLLAR,,9.2,,1.7,
2020-10-15 12:00:00,1905.0,26.0,,17.0,,,,,64.0,9814I,,42.656113,-0.124444,11.7,,,0.0,,,,,68.0,,1.4,,-0.9,-0.8,-1.5,,,,,TORLA-EL CEBOLLAR,,7.4,,1.6,
2020-10-15 13:00:00,1905.0,59.0,,15.0,,,,,68.0,9814I,,42.656113,-0.124444,,,,0.0,,,,,68.0,,1.2,,-0.5,-0.1,-0.8,,,,,TORLA-EL CEBOLLAR,,9.0,,1.6,
2020-10-15 14:00:00,1905.0,317.0,,34.0,,,,,66.0,9814I,,42.656113,-0.124444,8.9,,,0.0,,,,,67.0,,1.7,,0.8,1.5,-0.5,,,,,TORLA-EL CEBOLLAR,,9.9,,2.3,
2020-10-15 15:00:00,1905.0,11.0,,25.0,,,,,70.0,9814I,,42.656113,-0.124444,8.7,,,0.0,,,,,57.0,,1.5,,0.2,0.8,-0.1,,,,,TORLA-EL CEBOLLAR,,9.6,,2.4,
2020-10-15 16:00:00,1905.0,34.0,,25.0,,,,,72.0,9814I,,42.656113,-0.124444,6.5,,,0.0,,,,,55.0,,2.0,,-0.5,0.4,-1.0,,,,,TORLA-EL CEBOLLAR,,14.5,,2.8,
2020-10-15 17:00:00,1905.0,0.0,,20.0,,,,,79.0,9814I,,42.656113,-0.124444,,,,0.0,,,,,59.0,,1.4,,-1.4,-1.0,-1.5,,,,,TORLA-EL CEBOLLAR,,11.5,,2.0,
2020-10-15 18:00:00,1905.0,47.0,,17.0,,,,,75.0,9814I,,42.656113,-0.124444,,,,0.0,,,,,60.0,,1.7,,-2.1,-1.5,-2.3,,,,,TORLA-EL CEBOLLAR,,10.9,,2.7,
2020-10-15 19:00:00,1905.0,347.0,,61.0,,,,,68.0,9814I,,42.656113,-0.124444,,,,0.0,,,,,82.0,,1.5,,-2.8,-2.3,-2.9,,,,,TORLA-EL CEBOLLAR,,10.2,,1.7,
2020-10-15 20:00:00,1905.0,16.0,,21.0,,,,,70.0,9814I,,42.656113,-0.124444,,,,0.0,,,,,49.0,,2.0,,-2.9,-2.9,-3.0,,,,,TORLA-EL CEBOLLAR,,11.8,,3.4,
