fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,7.0,294.0,,333.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,37.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,2.7,,1.5,
2020-10-14 20:00:00,7.0,344.0,,354.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,41.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,3.7,,1.7,
2020-10-14 21:00:00,7.0,308.0,,311.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,226.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,11.7,,7.7,
2020-10-14 22:00:00,7.0,306.0,,315.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,322.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,13.1,,9.4,
2020-10-14 23:00:00,7.0,293.0,,300.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,282.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,12.9,,8.2,
2020-10-15 00:00:00,7.0,315.0,,311.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,262.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,11.8,,6.5,
2020-10-15 01:00:00,7.0,323.0,,309.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,246.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,12.4,,8.1,
2020-10-15 02:00:00,7.0,319.0,,321.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,216.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,10.0,,4.7,
2020-10-15 03:00:00,7.0,303.0,,305.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,187.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,8.3,,4.0,
2020-10-15 04:00:00,7.0,319.0,,252.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,107.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,8.0,,1.7,
2020-10-15 05:00:00,7.0,251.0,,233.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,93.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,5.7,,2.4,
2020-10-15 06:00:00,7.0,267.0,,291.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,96.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,5.7,,2.0,
2020-10-15 07:00:00,7.0,346.0,,320.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,85.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,6.9,,2.8,
2020-10-15 08:00:00,7.0,324.0,,332.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,90.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,5.7,,3.2,
2020-10-15 09:00:00,7.0,313.0,,311.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,155.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,7.3,,4.2,
2020-10-15 10:00:00,7.0,308.0,,288.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,133.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,7.0,,3.6,
2020-10-15 11:00:00,7.0,245.0,,287.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,170.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,9.8,,3.7,
2020-10-15 12:00:00,7.0,281.0,,288.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,222.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,10.1,,5.2,
2020-10-15 13:00:00,7.0,324.0,,315.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,194.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,9.4,,6.7,
2020-10-15 14:00:00,7.0,299.0,,296.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,217.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,10.6,,6.1,
2020-10-15 15:00:00,7.0,269.0,,320.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,221.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,10.8,,6.3,
2020-10-15 16:00:00,7.0,304.0,,304.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,195.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,9.0,,4.6,
2020-10-15 17:00:00,7.0,325.0,,299.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,144.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,6.6,,3.1,
2020-10-15 18:00:00,7.0,239.0,,247.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,120.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,5.6,,3.9,
2020-10-15 19:00:00,7.0,245.0,,246.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,114.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,5.0,,3.4,
2020-10-15 20:00:00,7.0,235.0,,236.0,,,,,,B228D,,39.5525,2.638889,,,,,,,,129.0,,,,,,,,,,,,PALMA DIC DE L?OEST,,4.5,,3.3,
