fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,100.0,242.0,,250.0,,,,,91.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,12.0,12.7,12.0,,,,,MANACOR-POLIESPORTIU,,1.7,,0.1,
2020-10-14 20:00:00,100.0,207.0,,80.0,,,,,92.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,11.1,11.8,11.1,,,,,MANACOR-POLIESPORTIU,,1.4,,0.4,
2020-10-14 21:00:00,100.0,252.0,,250.0,,,,,95.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,10.6,10.9,10.4,,,,,MANACOR-POLIESPORTIU,,4.0,,1.4,
2020-10-14 22:00:00,100.0,15.0,,294.0,,,,,96.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,10.8,10.8,10.5,,,,,MANACOR-POLIESPORTIU,,7.9,,2.3,
2020-10-14 23:00:00,100.0,345.0,,100.0,,,,,89.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,10.5,10.9,10.5,,,,,MANACOR-POLIESPORTIU,,7.4,,1.1,
2020-10-15 00:00:00,100.0,180.0,,171.0,,,,,91.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,9.5,10.3,9.5,,,,,MANACOR-POLIESPORTIU,,1.8,,0.2,
2020-10-15 01:00:00,100.0,217.0,,230.0,,,,,94.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,9.1,9.3,8.9,,,,,MANACOR-POLIESPORTIU,,1.4,,0.6,
2020-10-15 02:00:00,100.0,210.0,,234.0,,,,,94.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,9.1,9.1,8.9,,,,,MANACOR-POLIESPORTIU,,1.6,,0.2,
2020-10-15 03:00:00,100.0,247.0,,244.0,,,,,94.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,8.3,9.0,8.3,,,,,MANACOR-POLIESPORTIU,,1.5,,0.1,
2020-10-15 04:00:00,100.0,50.0,,195.0,,,,,95.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,7.9,8.3,7.9,,,,,MANACOR-POLIESPORTIU,,2.3,,0.0,
2020-10-15 05:00:00,100.0,197.0,,244.0,,,,,95.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,7.6,7.8,7.6,,,,,MANACOR-POLIESPORTIU,,1.3,,0.0,
2020-10-15 06:00:00,100.0,160.0,,37.0,,,,,96.0,B614E,,39.556824,3.21778,,,,0.0,,,,,,,,,7.4,7.7,7.4,,,,,MANACOR-POLIESPORTIU,,1.3,,0.4,
