fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,40.0,37.0,,45.0,,,,,91.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1006.3,1011.1,0.0,,,,,,12.5,13.1,12.4,11.1,13.2,,19.6,SA POBLA-SA CANOVA,20.0,4.2,,1.8,
2020-10-14 20:00:00,40.0,149.0,,182.0,,,,,95.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.2,1006.3,1011.1,0.0,,,,,,11.7,12.4,11.7,10.9,12.9,,19.6,SA POBLA-SA CANOVA,19.3,2.7,,1.7,
2020-10-14 21:00:00,40.0,217.0,,252.0,,,,,95.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1006.9,1011.7,0.0,,,,,,11.7,11.9,11.6,10.9,13.1,,19.6,SA POBLA-SA CANOVA,20.0,3.2,,1.6,
2020-10-14 22:00:00,40.0,349.0,,13.0,,,,,84.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1008.1,1012.9,0.0,,,,,,11.8,14.5,11.7,9.2,12.4,,19.5,SA POBLA-SA CANOVA,20.0,14.2,,4.9,
2020-10-14 23:00:00,40.0,10.0,,10.0,,,,,87.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1007.8,1012.6,0.0,,,,,,11.4,11.8,11.4,9.3,12.1,,19.5,SA POBLA-SA CANOVA,20.0,6.8,,1.1,
2020-10-15 00:00:00,40.0,344.0,,334.0,,,,,85.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1007.8,1012.6,0.0,,,,,,12.0,12.2,11.2,9.6,12.5,,19.4,SA POBLA-SA CANOVA,20.0,4.8,,2.4,
2020-10-15 01:00:00,40.0,326.0,,192.0,,,,,89.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1008.0,1012.8,0.0,,,,,,10.7,12.0,10.7,8.9,11.9,,19.3,SA POBLA-SA CANOVA,20.0,3.9,,2.2,
2020-10-15 02:00:00,40.0,189.0,,263.0,,,,,91.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1008.0,1012.8,0.0,,,,,,10.4,10.7,10.3,9.0,11.8,,19.2,SA POBLA-SA CANOVA,20.0,4.3,,1.2,
2020-10-15 03:00:00,40.0,56.0,,181.0,,,,,94.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.2,1008.1,1013.0,0.0,,,,,,9.9,10.6,9.9,8.9,11.7,,19.1,SA POBLA-SA CANOVA,20.0,3.5,,1.6,
2020-10-15 04:00:00,40.0,164.0,,221.0,,,,,95.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1008.2,1013.1,0.0,,,,,,9.2,9.9,9.1,8.4,10.8,,19.0,SA POBLA-SA CANOVA,20.0,3.9,,2.4,
2020-10-15 05:00:00,40.0,203.0,,255.0,,,,,93.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1008.5,1013.4,0.0,,,,,,9.6,9.6,8.9,8.5,10.5,,19.0,SA POBLA-SA CANOVA,20.0,3.7,,1.6,
2020-10-15 06:00:00,40.0,200.0,,207.0,,,,,92.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1008.7,1013.6,0.0,,,,,,8.8,9.7,8.8,7.6,10.4,,18.9,SA POBLA-SA CANOVA,20.0,3.9,,1.2,
2020-10-15 07:00:00,40.0,208.0,,209.0,,,,,93.0,B691Y,25.0,39.74916500000001,3.01667,,,0.0,0.0,1009.1,1014.0,0.0,,,,,,9.9,9.9,8.4,8.8,11.1,,18.8,SA POBLA-SA CANOVA,20.0,2.6,,0.8,
2020-10-15 08:00:00,40.0,161.0,,148.0,,,,,76.0,B691Y,60.0,39.74916500000001,3.01667,,,0.0,0.0,1009.6,1014.4,0.0,,,,,,12.7,12.7,9.8,8.5,13.4,,18.7,SA POBLA-SA CANOVA,20.0,3.4,,1.3,
2020-10-15 09:00:00,40.0,147.0,,165.0,,,,,64.0,B691Y,60.0,39.74916500000001,3.01667,,,0.0,0.0,1010.0,1014.8,0.0,,,,,,16.4,16.4,12.5,9.6,16.7,,18.6,SA POBLA-SA CANOVA,20.0,2.6,,1.5,
2020-10-15 10:00:00,40.0,145.0,,117.0,,,,,54.0,B691Y,60.0,39.74916500000001,3.01667,,,0.0,0.2,1009.9,1014.6,0.0,,,,,,18.0,18.3,16.3,8.5,19.2,,18.5,SA POBLA-SA CANOVA,20.0,3.7,,0.6,
2020-10-15 11:00:00,40.0,190.0,,252.0,,,,,51.0,B691Y,47.0,39.74916500000001,3.01667,,,0.0,0.0,1009.7,1014.4,0.0,,,,,,18.7,19.2,17.2,8.4,20.0,,18.4,SA POBLA-SA CANOVA,20.0,6.2,,1.9,
2020-10-15 12:00:00,40.0,231.0,,250.0,,,,,47.0,B691Y,60.0,39.74916500000001,3.01667,,,0.0,0.0,1009.4,1014.1,0.0,,,,,,19.0,19.2,18.6,7.4,23.1,,18.3,SA POBLA-SA CANOVA,20.0,7.3,,2.5,
2020-10-15 13:00:00,40.0,233.0,,256.0,,,,,46.0,B691Y,60.0,39.74916500000001,3.01667,,,0.0,0.0,1009.1,1013.8,0.0,,,,,,18.9,19.4,18.9,7.0,23.6,,18.3,SA POBLA-SA CANOVA,20.0,7.5,,3.3,
2020-10-15 14:00:00,40.0,244.0,,254.0,,,,,45.0,B691Y,60.0,39.74916500000001,3.01667,,,0.0,0.0,1009.0,1013.7,0.0,,,,,,19.1,19.2,18.6,6.8,22.9,,18.4,SA POBLA-SA CANOVA,20.0,8.7,,3.0,
2020-10-15 15:00:00,40.0,252.0,,272.0,,,,,43.0,B691Y,60.0,39.74916500000001,3.01667,,,0.0,0.0,1009.2,1013.9,0.0,,,,,,18.9,19.2,18.4,6.1,21.7,,18.5,SA POBLA-SA CANOVA,20.0,5.7,,2.1,
2020-10-15 16:00:00,40.0,279.0,,301.0,,,,,51.0,B691Y,55.0,39.74916500000001,3.01667,,,0.0,0.0,1009.5,1014.2,0.0,,,,,,17.2,19.0,17.2,7.0,19.1,,18.6,SA POBLA-SA CANOVA,20.0,6.1,,2.6,
2020-10-15 17:00:00,40.0,310.0,,305.0,,,,,57.0,B691Y,41.0,39.74916500000001,3.01667,,,0.0,0.0,1009.9,1014.7,0.0,,,,,,15.8,17.4,15.8,7.3,16.5,,18.8,SA POBLA-SA CANOVA,20.0,5.9,,2.4,
2020-10-15 18:00:00,40.0,304.0,,30.0,,,,,68.0,B691Y,0.0,39.74916500000001,3.01667,,,0.0,0.0,1010.5,1015.3,0.0,,,,,,14.8,15.8,14.5,8.9,15.3,,18.9,SA POBLA-SA CANOVA,20.0,4.0,,2.1,
2020-10-15 19:00:00,40.0,5.0,,132.0,,,,,72.0,B691Y,,39.74916500000001,3.01667,,,,,1010.7,,,,,,,,,,,,14.8,,19.0,SA POBLA-SA CANOVA,20.0,4.5,,1.3,
