fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,43.0,341.0,,2.0,,,,,85.0,B870C,,39.944786,3.956643,,,,1.6,1004.7,,,,,,,,13.0,13.4,12.7,,,,,CIUTADELLA-CALA GALDANA,,5.0,,2.3,
2020-10-14 20:00:00,43.0,33.0,,311.0,,,,,86.0,B870C,,39.944786,3.956643,,,,0.0,1004.6,,,,,,,,10.6,12.9,10.4,,,,,CIUTADELLA-CALA GALDANA,,1.8,,0.4,
2020-10-14 21:00:00,43.0,350.0,,343.0,,,,,89.0,B870C,,39.944786,3.956643,,,,0.0,1005.2,,,,,,,,11.2,11.6,9.9,,,,,CIUTADELLA-CALA GALDANA,,7.5,,3.9,
2020-10-14 22:00:00,43.0,331.0,,344.0,,,,,88.0,B870C,,39.944786,3.956643,,,,5.0,1006.4,,,,,,,,10.9,12.0,10.8,,,,,CIUTADELLA-CALA GALDANA,,13.8,,6.2,
2020-10-14 23:00:00,43.0,9.0,,358.0,,,,,88.0,B870C,,39.944786,3.956643,,,,0.8,1005.6,,,,,,,,10.2,10.9,10.1,,,,,CIUTADELLA-CALA GALDANA,,9.4,,2.5,
2020-10-15 00:00:00,43.0,7.0,,321.0,,,,,89.0,B870C,,39.944786,3.956643,,,,0.0,1005.8,,,,,,,,8.9,10.2,8.7,,,,,CIUTADELLA-CALA GALDANA,,3.6,,1.5,
2020-10-15 01:00:00,43.0,317.0,,340.0,,,,,89.0,B870C,,39.944786,3.956643,,,,0.0,1006.2,,,,,,,,8.3,9.2,8.1,,,,,CIUTADELLA-CALA GALDANA,,2.5,,1.3,
2020-10-15 02:00:00,43.0,331.0,,334.0,,,,,87.0,B870C,,39.944786,3.956643,,,,0.0,1006.2,,,,,,,,10.3,10.5,8.2,,,,,CIUTADELLA-CALA GALDANA,,5.9,,2.2,
2020-10-15 03:00:00,43.0,346.0,,309.0,,,,,87.0,B870C,,39.944786,3.956643,,,,0.0,1006.3,,,,,,,,8.0,10.4,7.8,,,,,CIUTADELLA-CALA GALDANA,,2.7,,0.6,
2020-10-15 04:00:00,43.0,334.0,,291.0,,,,,88.0,B870C,,39.944786,3.956643,,,,0.2,1006.9,,,,,,,,7.1,8.0,7.0,,,,,CIUTADELLA-CALA GALDANA,,2.2,,0.5,
