fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,24.0,45.0,,349.0,,,,,53.0,B986,,38.693709999999996,1.4635280000000002,,,,0.0,1008.6,,,,,,,,16.2,17.5,15.9,,,,,FORMENTERA,,5.1,,0.8,
2020-10-14 20:00:00,24.0,242.0,,277.0,,,,,61.0,B986,,38.693709999999996,1.4635280000000002,,,,0.0,1009.0,,,,,,,,14.2,16.0,14.0,,,,,FORMENTERA,,1.7,,0.9,
2020-10-14 21:00:00,24.0,244.0,,243.0,,,,,63.0,B986,,38.693709999999996,1.4635280000000002,,,,0.0,1009.7,,,,,,,,13.5,14.4,13.3,,,,,FORMENTERA,,1.7,,1.1,
2020-10-14 22:00:00,24.0,256.0,,249.0,,,,,62.0,B986,,38.693709999999996,1.4635280000000002,,,,0.0,1009.8,,,,,,,,14.3,14.6,13.3,,,,,FORMENTERA,,2.5,,1.7,
2020-10-14 23:00:00,24.0,345.0,,334.0,,,,,84.0,B986,,38.693709999999996,1.4635280000000002,,,,0.2,1010.6,,,,,,,,13.9,15.8,13.8,,,,,FORMENTERA,,5.9,,1.7,
2020-10-15 00:00:00,24.0,347.0,,3.0,,,,,61.0,B986,,38.693709999999996,1.4635280000000002,,,,0.0,1010.8,,,,,,,,15.4,15.6,13.9,,,,,FORMENTERA,,9.8,,2.3,
2020-10-15 01:00:00,24.0,0.0,,9.0,,,,,82.0,B986,,38.693709999999996,1.4635280000000002,,,,0.9,1010.8,,,,,,,,13.9,15.9,13.5,,,,,FORMENTERA,,6.1,,2.5,
2020-10-15 02:00:00,24.0,21.0,,15.0,,,,,89.0,B986,,38.693709999999996,1.4635280000000002,,,,0.0,1010.5,,,,,,,,12.9,13.5,12.5,,,,,FORMENTERA,,4.2,,1.8,
2020-10-15 03:00:00,24.0,7.0,,341.0,,,,,69.0,B986,,38.693709999999996,1.4635280000000002,,,,0.0,1010.3,,,,,,,,14.2,14.3,12.9,,,,,FORMENTERA,,4.9,,2.3,
2020-10-15 04:00:00,24.0,346.0,,3.0,,,,,61.0,B986,,38.693709999999996,1.4635280000000002,,,,0.0,1010.5,,,,,,,,14.7,15.0,14.2,,,,,FORMENTERA,,5.3,,1.4,
2020-10-15 05:00:00,24.0,1.0,,2.0,,,,,59.0,B986,,38.693709999999996,1.4635280000000002,,,,0.0,1010.7,,,,,,,,14.5,14.9,14.1,,,,,FORMENTERA,,4.5,,1.7,
