fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,376.0,10.0,,357.0,,,,,87.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,18.3,19.1,18.3,,,,,TIAS-LAS VEGAS,,9.1,,6.1,
2020-10-14 20:00:00,376.0,2.0,,9.0,,,,,89.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,18.0,18.2,18.0,,,,,TIAS-LAS VEGAS,,9.2,,5.7,
2020-10-14 21:00:00,376.0,15.0,,359.0,,,,,90.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,17.7,17.9,17.7,,,,,TIAS-LAS VEGAS,,9.8,,6.8,
2020-10-14 22:00:00,376.0,7.0,,3.0,,,,,90.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,17.7,17.7,17.7,,,,,TIAS-LAS VEGAS,,9.1,,6.1,
2020-10-14 23:00:00,376.0,355.0,,12.0,,,,,90.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,17.3,17.6,17.3,,,,,TIAS-LAS VEGAS,,8.6,,3.2,
2020-10-15 00:00:00,376.0,22.0,,65.0,,,,,89.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,17.1,17.6,17.1,,,,,TIAS-LAS VEGAS,,5.8,,1.4,
2020-10-15 01:00:00,376.0,42.0,,19.0,,,,,86.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,17.4,17.5,17.0,,,,,TIAS-LAS VEGAS,,6.6,,3.0,
2020-10-15 02:00:00,376.0,40.0,,1.0,,,,,87.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,17.8,18.0,17.2,,,,,TIAS-LAS VEGAS,,4.7,,2.5,
2020-10-15 03:00:00,376.0,15.0,,13.0,,,,,82.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,18.1,18.1,17.9,,,,,TIAS-LAS VEGAS,,6.8,,4.1,
2020-10-15 04:00:00,376.0,15.0,,30.0,,,,,84.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,18.0,18.0,17.9,,,,,TIAS-LAS VEGAS,,6.5,,3.8,
2020-10-15 05:00:00,376.0,22.0,,14.0,,,,,85.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,17.6,18.1,17.6,,,,,TIAS-LAS VEGAS,,6.7,,4.7,
2020-10-15 06:00:00,376.0,40.0,,13.0,,,,,87.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,16.4,17.4,16.4,,,,,TIAS-LAS VEGAS,,6.7,,2.3,
2020-10-15 07:00:00,376.0,12.0,,3.0,,,,,89.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,16.5,16.6,16.2,,,,,TIAS-LAS VEGAS,,7.6,,4.6,
2020-10-15 08:00:00,376.0,5.0,,2.0,,,,,84.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,17.9,17.9,16.4,,,,,TIAS-LAS VEGAS,,7.5,,4.8,
2020-10-15 09:00:00,376.0,5.0,,26.0,,,,,77.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,19.5,19.5,18.4,,,,,TIAS-LAS VEGAS,,9.7,,5.4,
2020-10-15 10:00:00,376.0,22.0,,32.0,,,,,71.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,20.6,20.6,19.7,,,,,TIAS-LAS VEGAS,,8.4,,5.1,
2020-10-15 11:00:00,376.0,80.0,,70.0,,,,,63.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,22.9,22.9,21.6,,,,,TIAS-LAS VEGAS,,8.4,,5.1,
2020-10-15 12:00:00,376.0,75.0,,70.0,,,,,60.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,23.8,23.8,22.9,,,,,TIAS-LAS VEGAS,,8.5,,3.9,
2020-10-15 13:00:00,376.0,55.0,,62.0,,,,,61.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,24.1,24.2,23.0,,,,,TIAS-LAS VEGAS,,8.1,,4.1,
2020-10-15 14:00:00,376.0,65.0,,51.0,,,,,58.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,23.8,24.1,23.8,,,,,TIAS-LAS VEGAS,,8.0,,3.5,
2020-10-15 15:00:00,376.0,352.0,,349.0,,,,,56.0,C018J,,28.969727,-13.690276999999998,,,,0.0,,,,,,,,,24.7,24.9,23.8,,,,,TIAS-LAS VEGAS,,7.1,,5.0,
