fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,6.0,5.0,,29.0,,,,,58.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,22.7,23.8,22.7,,,,,YAIZA-PLAYA BLANCA,,7.8,,4.1,
2020-10-14 20:00:00,6.0,25.0,,15.0,,,,,64.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.9,22.5,21.9,,,,,YAIZA-PLAYA BLANCA,,6.8,,4.5,
2020-10-14 21:00:00,6.0,17.0,,21.0,,,,,65.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.6,21.8,21.6,,,,,YAIZA-PLAYA BLANCA,,5.4,,3.2,
2020-10-14 22:00:00,6.0,17.0,,29.0,,,,,68.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.3,21.6,21.3,,,,,YAIZA-PLAYA BLANCA,,4.5,,1.6,
2020-10-14 23:00:00,6.0,32.0,,45.0,,,,,69.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.4,21.5,21.3,,,,,YAIZA-PLAYA BLANCA,,4.6,,1.6,
2020-10-15 00:00:00,6.0,77.0,,62.0,,,,,68.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.6,21.6,21.3,,,,,YAIZA-PLAYA BLANCA,,4.0,,2.2,
2020-10-15 01:00:00,6.0,75.0,,7.0,,,,,67.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,20.9,21.4,20.9,,,,,YAIZA-PLAYA BLANCA,,3.7,,1.2,
2020-10-15 02:00:00,6.0,67.0,,26.0,,,,,65.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.1,21.3,20.8,,,,,YAIZA-PLAYA BLANCA,,4.8,,1.7,
2020-10-15 03:00:00,6.0,42.0,,33.0,,,,,66.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.4,21.8,21.3,,,,,YAIZA-PLAYA BLANCA,,3.7,,1.5,
2020-10-15 04:00:00,6.0,32.0,,52.0,,,,,63.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.5,21.7,21.5,,,,,YAIZA-PLAYA BLANCA,,5.0,,2.5,
2020-10-15 05:00:00,6.0,70.0,,41.0,,,,,64.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.1,21.5,21.1,,,,,YAIZA-PLAYA BLANCA,,4.5,,1.7,
2020-10-15 06:00:00,6.0,60.0,,22.0,,,,,70.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,20.2,21.1,20.2,,,,,YAIZA-PLAYA BLANCA,,3.5,,2.0,
2020-10-15 07:00:00,6.0,77.0,,26.0,,,,,68.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,19.7,20.1,19.7,,,,,YAIZA-PLAYA BLANCA,,4.3,,1.2,
2020-10-15 08:00:00,6.0,60.0,,47.0,,,,,66.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,21.1,21.1,19.8,,,,,YAIZA-PLAYA BLANCA,,5.2,,3.2,
2020-10-15 09:00:00,6.0,52.0,,54.0,,,,,59.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,22.3,22.3,21.5,,,,,YAIZA-PLAYA BLANCA,,6.4,,4.1,
2020-10-15 10:00:00,6.0,47.0,,96.0,,,,,53.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,24.0,24.0,22.3,,,,,YAIZA-PLAYA BLANCA,,7.6,,2.4,
2020-10-15 11:00:00,6.0,65.0,,74.0,,,,,57.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,23.4,24.1,23.4,,,,,YAIZA-PLAYA BLANCA,,7.9,,4.3,
2020-10-15 12:00:00,6.0,45.0,,77.0,,,,,61.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,23.4,23.6,23.1,,,,,YAIZA-PLAYA BLANCA,,8.6,,4.1,
2020-10-15 13:00:00,6.0,80.0,,83.0,,,,,63.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,22.7,23.4,22.7,,,,,YAIZA-PLAYA BLANCA,,9.0,,5.3,
2020-10-15 14:00:00,6.0,97.0,,107.0,,,,,60.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,23.4,23.4,23.0,,,,,YAIZA-PLAYA BLANCA,,8.8,,5.1,
2020-10-15 15:00:00,6.0,105.0,,81.0,,,,,61.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,23.7,23.7,23.4,,,,,YAIZA-PLAYA BLANCA,,8.8,,3.9,
2020-10-15 16:00:00,6.0,122.0,,105.0,,,,,60.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,23.5,23.8,23.1,,,,,YAIZA-PLAYA BLANCA,,7.6,,3.9,
2020-10-15 17:00:00,6.0,95.0,,79.0,,,,,65.0,C019V,,28.858885,-13.834999,,,,0.0,,,,,,,,,22.9,23.3,22.9,,,,,YAIZA-PLAYA BLANCA,,8.4,,5.3,
2020-10-14 21:00:00,6.0,17.0,,21.0,,,,,65.0,C019V,,28.858884999999997,-13.834999,,,,0.0,,,,,,,,,21.6,21.8,21.6,,,,,YAIZA-PLAYA BLANCA,,5.4,,3.2,
