fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,14.0,10.0,,10.0,,,,,73.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1016.0,1020.5,,,3.0,,0.6,,22.0,23.4,21.9,17.0,22.5,,,LANZAROTE/AEROPUERTO,,10.8,,6.5,
2020-10-14 20:00:00,14.0,40.0,,30.0,,,,,72.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1016.4,1020.9,,,3.0,,0.7,,21.7,21.9,21.6,16.4,21.9,,,LANZAROTE/AEROPUERTO,,8.8,,6.0,
2020-10-14 21:00:00,14.0,50.0,,30.0,,,,,74.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1016.8,1021.3,,,2.0,,0.7,,21.4,21.6,21.4,16.6,21.5,,,LANZAROTE/AEROPUERTO,,9.3,,5.8,
2020-10-14 22:00:00,14.0,30.0,,30.0,,,,,74.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1017.4,1021.9,,,3.0,,0.7,,21.3,21.4,21.2,16.5,21.3,,,LANZAROTE/AEROPUERTO,,8.2,,5.7,
2020-10-14 23:00:00,14.0,40.0,,40.0,,,,,76.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1017.6,1022.1,,,5.0,,0.7,,21.1,21.3,21.1,16.7,21.1,,,LANZAROTE/AEROPUERTO,,7.7,,3.9,
2020-10-15 00:00:00,14.0,40.0,,50.0,,,,,73.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1017.2,1021.7,,,4.0,,0.7,,21.7,21.8,21.2,16.6,21.9,,,LANZAROTE/AEROPUERTO,,7.2,,4.5,
2020-10-15 01:00:00,14.0,50.0,,40.0,,,,,71.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1016.7,1021.2,,,4.0,,0.5,,21.8,21.8,21.7,16.3,21.8,,,LANZAROTE/AEROPUERTO,,7.7,,4.0,
2020-10-15 02:00:00,14.0,50.0,,40.0,,,,,72.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1016.5,1021.0,,,3.0,,0.5,,21.7,21.9,21.6,16.4,21.8,,,LANZAROTE/AEROPUERTO,,8.2,,4.6,
2020-10-15 03:00:00,14.0,40.0,,30.0,,,,,70.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1016.2,1020.7,,,5.0,,0.5,,21.8,21.8,21.7,16.0,21.9,,,LANZAROTE/AEROPUERTO,,6.7,,4.2,
2020-10-15 04:00:00,14.0,50.0,,40.0,,,,,74.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1015.6,1020.1,,,4.0,,0.6,,21.6,21.8,21.6,16.7,21.7,,,LANZAROTE/AEROPUERTO,,8.2,,5.0,
2020-10-15 05:00:00,14.0,50.0,,40.0,,,,,70.0,C029O,0.0,28.951942,-13.600279,,,,0.0,1015.5,1020.0,,,5.0,,0.7,,21.0,21.6,20.9,15.3,20.9,,,LANZAROTE/AEROPUERTO,,9.3,,5.2,
