fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,765.0,92.0,,109.0,,,,,92.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,18.1,18.9,18.1,,,,,AGULO-JUEGO BOLAS,,4.0,,1.3,
2020-10-14 20:00:00,765.0,92.0,,6.0,,,,,92.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,17.7,18.2,17.7,,,,,AGULO-JUEGO BOLAS,,2.6,,0.9,
2020-10-14 21:00:00,765.0,65.0,,58.0,,,,,93.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,17.4,17.9,17.4,,,,,AGULO-JUEGO BOLAS,,3.4,,1.1,
2020-10-14 22:00:00,765.0,352.0,,306.0,,,,,92.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,17.5,17.5,17.4,,,,,AGULO-JUEGO BOLAS,,3.9,,0.9,
2020-10-14 23:00:00,765.0,215.0,,208.0,,,,,50.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,18.7,18.7,17.0,,,,,AGULO-JUEGO BOLAS,,3.3,,2.2,
2020-10-15 00:00:00,765.0,217.0,,215.0,,,,,37.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,19.5,19.5,18.9,,,,,AGULO-JUEGO BOLAS,,4.1,,2.2,
2020-10-15 01:00:00,765.0,227.0,,245.0,,,,,43.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,18.8,19.6,18.8,,,,,AGULO-JUEGO BOLAS,,3.6,,1.3,
2020-10-15 02:00:00,765.0,207.0,,179.0,,,,,41.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,19.6,19.6,18.5,,,,,AGULO-JUEGO BOLAS,,3.5,,1.5,
2020-10-15 03:00:00,765.0,310.0,,308.0,,,,,47.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,18.7,19.4,18.6,,,,,AGULO-JUEGO BOLAS,,2.0,,1.5,
2020-10-15 04:00:00,765.0,352.0,,340.0,,,,,47.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,18.8,18.9,18.7,,,,,AGULO-JUEGO BOLAS,,3.6,,2.8,
2020-10-15 05:00:00,765.0,355.0,,351.0,,,,,54.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,18.5,18.7,17.9,,,,,AGULO-JUEGO BOLAS,,4.6,,3.0,
2020-10-15 06:00:00,765.0,37.0,,103.0,,,,,91.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,17.0,18.2,17.0,,,,,AGULO-JUEGO BOLAS,,6.6,,2.0,
2020-10-15 07:00:00,765.0,175.0,,201.0,,,,,90.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,16.2,16.7,16.2,,,,,AGULO-JUEGO BOLAS,,3.8,,2.3,
2020-10-15 08:00:00,765.0,227.0,,224.0,,,,,27.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,20.3,20.3,16.9,,,,,AGULO-JUEGO BOLAS,,5.0,,3.2,
2020-10-15 09:00:00,765.0,147.0,,156.0,,,,,36.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,22.0,22.0,21.2,,,,,AGULO-JUEGO BOLAS,,4.0,,2.8,
2020-10-15 10:00:00,765.0,150.0,,112.0,,,,,55.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,22.8,22.8,21.7,,,,,AGULO-JUEGO BOLAS,,4.2,,0.8,
2020-10-15 11:00:00,765.0,180.0,,178.0,,,,,28.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,26.1,26.1,22.1,,,,,AGULO-JUEGO BOLAS,,4.5,,1.6,
2020-10-15 12:00:00,765.0,107.0,,110.0,,,,,51.0,C317B,,28.178888,-17.213057,,,,0.0,,,,,,,,,25.8,26.9,25.8,,,,,AGULO-JUEGO BOLAS,,5.3,,1.2,
