fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,190.0,212.0,,215.0,,,,,85.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,22.3,23.0,22.3,,,,,VALLEHERMOSO-DAMA,,3.8,,1.0,
2020-10-14 20:00:00,190.0,247.0,,220.0,,,,,87.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,22.3,22.3,22.2,,,,,VALLEHERMOSO-DAMA,,2.0,,1.2,
2020-10-14 21:00:00,190.0,232.0,,197.0,,,,,87.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,22.4,22.4,22.3,,,,,VALLEHERMOSO-DAMA,,2.7,,0.7,
2020-10-14 22:00:00,190.0,355.0,,12.0,,,,,86.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,22.3,22.4,22.3,,,,,VALLEHERMOSO-DAMA,,2.1,,0.8,
2020-10-14 23:00:00,190.0,212.0,,251.0,,,,,87.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,21.9,22.3,21.9,,,,,VALLEHERMOSO-DAMA,,2.4,,0.7,
2020-10-15 00:00:00,190.0,342.0,,60.0,,,,,86.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,21.8,21.9,21.8,,,,,VALLEHERMOSO-DAMA,,2.1,,0.0,
2020-10-15 01:00:00,190.0,345.0,,348.0,,,,,90.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,20.9,21.6,20.9,,,,,VALLEHERMOSO-DAMA,,2.8,,1.5,
2020-10-15 02:00:00,190.0,337.0,,353.0,,,,,88.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,20.1,20.8,20.1,,,,,VALLEHERMOSO-DAMA,,2.2,,0.4,
2020-10-15 03:00:00,190.0,305.0,,315.0,,,,,92.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,19.9,20.0,19.9,,,,,VALLEHERMOSO-DAMA,,1.9,,0.4,
2020-10-15 04:00:00,190.0,340.0,,330.0,,,,,93.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,20.4,20.4,20.0,,,,,VALLEHERMOSO-DAMA,,3.1,,1.8,
2020-10-15 05:00:00,190.0,7.0,,356.0,,,,,93.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,20.4,20.4,20.3,,,,,VALLEHERMOSO-DAMA,,5.4,,3.2,
2020-10-15 06:00:00,190.0,330.0,,128.0,,,,,91.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,20.2,20.4,20.2,,,,,VALLEHERMOSO-DAMA,,6.4,,3.0,
2020-10-15 07:00:00,190.0,157.0,,165.0,,,,,87.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,20.7,20.7,20.2,,,,,VALLEHERMOSO-DAMA,,7.3,,4.6,
2020-10-15 08:00:00,190.0,157.0,,165.0,,,,,89.0,C319W,,28.054167,-17.306389000000006,,,,0.0,,,,,,,,,21.0,21.0,20.8,,,,,VALLEHERMOSO-DAMA,,7.0,,4.7,
