fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,403.0,193.0,,175.0,,,,,84.0,C419L,10.0,28.207056,-16.792028,,,,0.0,,,,,,,,,21.2,22.6,21.1,,,,,Lomo del Balo,,4.2,,3.1,
2020-10-14 20:00:00,403.0,194.0,,173.0,,,,,88.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,20.5,21.2,20.5,,,,,Lomo del Balo,,4.7,,3.1,
2020-10-14 21:00:00,403.0,187.0,,181.0,,,,,88.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,20.5,20.5,20.4,,,,,Lomo del Balo,,4.1,,3.5,
2020-10-14 22:00:00,403.0,155.0,,157.0,,,,,81.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,20.8,20.8,20.3,,,,,Lomo del Balo,,3.8,,2.9,
2020-10-14 23:00:00,403.0,167.0,,152.0,,,,,87.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,20.0,20.8,20.0,,,,,Lomo del Balo,,3.7,,2.8,
2020-10-15 00:00:00,403.0,181.0,,47.0,,,,,86.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,19.9,20.0,19.6,,,,,Lomo del Balo,,3.5,,1.0,
2020-10-15 01:00:00,403.0,3.0,,141.0,,,,,89.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,19.2,19.9,19.2,,,,,Lomo del Balo,,2.5,,1.6,
2020-10-15 02:00:00,403.0,122.0,,73.0,,,,,89.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,18.8,19.1,18.8,,,,,Lomo del Balo,,2.2,,0.0,
2020-10-15 03:00:00,403.0,29.0,,1.0,,,,,92.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,18.6,18.8,18.5,,,,,Lomo del Balo,,2.3,,1.9,
2020-10-15 04:00:00,403.0,33.0,,12.0,,,,,93.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,18.7,18.8,18.6,,,,,Lomo del Balo,,2.2,,1.5,
2020-10-15 05:00:00,403.0,40.0,,81.0,,,,,93.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,18.7,18.8,18.6,,,,,Lomo del Balo,,1.7,,1.0,
2020-10-15 06:00:00,403.0,82.0,,98.0,,,,,88.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,19.1,19.1,18.7,,,,,Lomo del Balo,,3.1,,2.5,
2020-10-15 07:00:00,403.0,175.0,,156.0,,,,,87.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,19.4,19.5,19.1,,,,,Lomo del Balo,,4.5,,3.7,
2020-10-15 08:00:00,403.0,187.0,,174.0,,,,,89.0,C419L,0.0,28.207056,-16.792028,,,,0.0,,,,,,,,,19.6,19.6,19.4,,,,,Lomo del Balo,,5.4,,2.6,
2020-10-15 09:00:00,403.0,217.0,,333.0,,,,,79.0,C419L,50.0,28.207056,-16.792028,,,,0.0,,,,,,,,,21.2,21.2,19.6,,,,,Lomo del Balo,,3.1,,0.9,
2020-10-15 10:00:00,403.0,26.0,,319.0,,,,,75.0,C419L,60.0,28.207056,-16.792028,,,,0.0,,,,,,,,,22.2,22.3,21.2,,,,,Lomo del Balo,,3.2,,1.8,
2020-10-15 11:00:00,403.0,309.0,,270.0,,,,,71.0,C419L,60.0,28.207056,-16.792028,,,,0.0,,,,,,,,,22.6,23.0,22.2,,,,,Lomo del Balo,,3.8,,2.7,
2020-10-15 12:00:00,403.0,13.0,,307.0,,,,,66.0,C419L,60.0,28.207056,-16.792028,,,,0.0,,,,,,,,,24.0,24.1,22.6,,,,,Lomo del Balo,,4.5,,2.5,
