fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,130.0,,,,,,,,75.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,23.0,24.2,23.0,,,,,ADEJE-CALDERA B,,,,,
2020-10-14 20:00:00,130.0,,,,,,,,78.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,22.0,22.7,22.0,,,,,ADEJE-CALDERA B,,,,,
2020-10-14 21:00:00,130.0,,,,,,,,79.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,22.2,22.2,21.9,,,,,ADEJE-CALDERA B,,,,,
2020-10-14 22:00:00,130.0,,,,,,,,80.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,21.6,22.1,21.6,,,,,ADEJE-CALDERA B,,,,,
2020-10-14 23:00:00,130.0,,,,,,,,81.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,21.3,21.7,21.3,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 00:00:00,130.0,,,,,,,,81.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,21.5,21.5,21.1,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 01:00:00,130.0,,,,,,,,80.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,21.2,21.4,20.9,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 02:00:00,130.0,,,,,,,,84.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,20.0,21.2,20.0,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 03:00:00,130.0,,,,,,,,84.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,20.7,20.8,20.1,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 04:00:00,130.0,,,,,,,,84.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,20.9,21.0,20.9,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 05:00:00,130.0,,,,,,,,85.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,20.7,20.9,20.6,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 06:00:00,130.0,,,,,,,,82.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,21.2,21.3,20.9,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 07:00:00,130.0,,,,,,,,78.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,21.3,21.3,21.2,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 08:00:00,130.0,,,,,,,,75.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,21.4,21.4,21.4,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 09:00:00,130.0,,,,,,,,75.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,22.2,22.2,21.4,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 10:00:00,130.0,,,,,,,,65.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,24.9,24.9,22.7,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 11:00:00,130.0,,,,,,,,57.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,26.2,26.2,25.2,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 12:00:00,130.0,,,,,,,,56.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,26.8,26.8,26.3,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 13:00:00,130.0,,,,,,,,54.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,27.5,27.9,26.9,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 14:00:00,130.0,,,,,,,,63.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,26.2,27.5,25.9,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 15:00:00,130.0,,,,,,,,64.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,25.6,26.8,25.6,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 16:00:00,130.0,,,,,,,,64.0,C419X,,28.081388,-16.710556,,,,0.0,,,,,,,,,26.3,26.3,25.3,,,,,ADEJE-CALDERA B,,,,,
2020-10-15 17:00:00,130.0,,,,,,,,,C419X,,28.081388,-16.710556,,,,,,,,,,,,,24.5,26.1,24.5,,,,,ADEJE-CALDERA B,,,,,
