fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,418.0,62.0,,49.0,,,,,88.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,19.3,20.2,19.3,,,,,ARICO-DEPURADORA LA DEGOLLADA,,5.3,,3.6,
2020-10-14 20:00:00,418.0,52.0,,45.0,,,,,89.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,18.9,19.2,18.9,,,,,ARICO-DEPURADORA LA DEGOLLADA,,7.3,,4.5,
2020-10-14 21:00:00,418.0,50.0,,45.0,,,,,90.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,18.9,18.9,18.8,,,,,ARICO-DEPURADORA LA DEGOLLADA,,8.3,,5.7,
2020-10-14 22:00:00,418.0,47.0,,49.0,,,,,91.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,18.4,18.9,18.4,,,,,ARICO-DEPURADORA LA DEGOLLADA,,8.2,,4.6,
2020-10-14 23:00:00,418.0,57.0,,43.0,,,,,90.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,18.3,18.4,18.3,,,,,ARICO-DEPURADORA LA DEGOLLADA,,7.4,,4.2,
2020-10-15 00:00:00,418.0,62.0,,36.0,,,,,90.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,17.8,18.3,17.8,,,,,ARICO-DEPURADORA LA DEGOLLADA,,6.1,,2.8,
2020-10-15 01:00:00,418.0,42.0,,37.0,,,,,92.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,17.4,17.7,17.4,,,,,ARICO-DEPURADORA LA DEGOLLADA,,5.8,,3.0,
2020-10-15 02:00:00,418.0,12.0,,29.0,,,,,91.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,17.0,17.4,17.0,,,,,ARICO-DEPURADORA LA DEGOLLADA,,6.7,,3.2,
2020-10-15 03:00:00,418.0,45.0,,30.0,,,,,88.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,17.1,17.4,17.1,,,,,ARICO-DEPURADORA LA DEGOLLADA,,7.5,,2.7,
2020-10-15 04:00:00,418.0,0.0,,23.0,,,,,88.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,17.0,17.2,17.0,,,,,ARICO-DEPURADORA LA DEGOLLADA,,6.7,,2.9,
2020-10-15 05:00:00,418.0,42.0,,4.0,,,,,87.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,16.9,17.1,16.9,,,,,ARICO-DEPURADORA LA DEGOLLADA,,6.5,,2.1,
2020-10-15 06:00:00,418.0,37.0,,54.0,,,,,88.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,16.9,17.0,16.8,,,,,ARICO-DEPURADORA LA DEGOLLADA,,5.2,,1.3,
2020-10-15 07:00:00,418.0,45.0,,20.0,,,,,89.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,17.1,17.3,17.0,,,,,ARICO-DEPURADORA LA DEGOLLADA,,7.1,,3.2,
2020-10-15 08:00:00,418.0,37.0,,39.0,,,,,86.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,18.1,18.1,17.1,,,,,ARICO-DEPURADORA LA DEGOLLADA,,6.2,,3.4,
2020-10-15 09:00:00,418.0,42.0,,49.0,,,,,77.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,20.2,20.2,18.6,,,,,ARICO-DEPURADORA LA DEGOLLADA,,8.3,,5.4,
2020-10-15 10:00:00,418.0,80.0,,66.0,,,,,71.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,22.1,22.1,20.7,,,,,ARICO-DEPURADORA LA DEGOLLADA,,7.5,,5.1,
2020-10-15 11:00:00,418.0,72.0,,69.0,,,,,67.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,23.5,23.5,22.5,,,,,ARICO-DEPURADORA LA DEGOLLADA,,7.1,,4.3,
2020-10-15 12:00:00,418.0,60.0,,67.0,,,,,66.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,24.1,24.1,23.3,,,,,ARICO-DEPURADORA LA DEGOLLADA,,7.2,,4.5,
2020-10-15 13:00:00,418.0,52.0,,71.0,,,,,63.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,25.1,25.1,24.6,,,,,ARICO-DEPURADORA LA DEGOLLADA,,6.2,,3.4,
2020-10-15 14:00:00,418.0,57.0,,62.0,,,,,67.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,24.0,24.8,24.0,,,,,ARICO-DEPURADORA LA DEGOLLADA,,7.8,,5.2,
2020-10-15 15:00:00,418.0,70.0,,66.0,,,,,70.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,23.3,23.8,23.2,,,,,ARICO-DEPURADORA LA DEGOLLADA,,8.0,,4.2,
2020-10-15 16:00:00,418.0,57.0,,70.0,,,,,71.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,23.1,23.4,23.0,,,,,ARICO-DEPURADORA LA DEGOLLADA,,8.8,,4.3,
2020-10-15 17:00:00,418.0,42.0,,53.0,,,,,77.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,21.4,22.9,21.4,,,,,ARICO-DEPURADORA LA DEGOLLADA,,6.8,,4.3,
2020-10-15 18:00:00,418.0,45.0,,49.0,,,,,84.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,19.9,21.0,19.9,,,,,ARICO-DEPURADORA LA DEGOLLADA,,6.4,,4.2,
2020-10-15 19:00:00,418.0,52.0,,45.0,,,,,87.0,C428T,,28.180834,-16.483334,,,,0.0,,,,,,,,,19.1,19.6,19.1,,,,,ARICO-DEPURADORA LA DEGOLLADA,,6.6,,4.1,
