fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,868.0,30.0,,57.0,,,,,17.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,19.4,19.7,18.2,,,,,LAS MERCEDES-LLANO LOS LOROS,,5.0,,2.2,
2020-10-14 20:00:00,868.0,20.0,,125.0,,,,,46.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,16.9,20.7,16.9,,,,,LAS MERCEDES-LLANO LOS LOROS,,5.0,,1.9,
2020-10-14 21:00:00,868.0,142.0,,233.0,,,,,44.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,16.3,16.4,15.9,,,,,LAS MERCEDES-LLANO LOS LOROS,,3.9,,1.0,
2020-10-14 22:00:00,868.0,137.0,,117.0,,,,,57.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,15.5,16.1,15.5,,,,,LAS MERCEDES-LLANO LOS LOROS,,4.3,,2.4,
2020-10-14 23:00:00,868.0,100.0,,133.0,,,,,72.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,15.0,16.8,15.0,,,,,LAS MERCEDES-LLANO LOS LOROS,,7.0,,1.2,
2020-10-15 00:00:00,868.0,90.0,,117.0,,,,,89.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,14.5,14.5,14.0,,,,,LAS MERCEDES-LLANO LOS LOROS,,3.9,,2.0,
2020-10-15 01:00:00,868.0,107.0,,114.0,,,,,93.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,14.5,15.1,14.0,,,,,LAS MERCEDES-LLANO LOS LOROS,,4.2,,3.2,
2020-10-15 02:00:00,868.0,112.0,,116.0,,,,,94.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,14.4,14.9,14.4,,,,,LAS MERCEDES-LLANO LOS LOROS,,4.9,,3.8,
2020-10-15 03:00:00,868.0,117.0,,105.0,,,,,96.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,13.9,14.2,13.9,,,,,LAS MERCEDES-LLANO LOS LOROS,,6.2,,3.2,
2020-10-15 04:00:00,868.0,85.0,,74.0,,,,,89.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,12.5,13.6,12.5,,,,,LAS MERCEDES-LLANO LOS LOROS,,4.4,,1.5,
2020-10-15 05:00:00,868.0,67.0,,34.0,,,,,16.0,C446G,,28.526388,-16.280276999999998,,,,0.0,,,,,,,,,19.2,19.2,11.6,,,,,LAS MERCEDES-LLANO LOS LOROS,,8.5,,3.2,
