fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,35.0,80.0,,74.0,,,,,73.0,C449C,4.1,28.463337,-16.255281,,0.0,,0.0,1012.8,1018.2,,,20.0,,1.2,,23.0,23.4,23.0,17.9,22.9,28.2,28.4,SANTA CRUZ DE TENERIFE ,20.0,7.9,,3.8,
2020-10-14 20:00:00,35.0,85.0,,75.0,,,,,74.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1013.7,1019.1,,,16.0,,1.0,,22.7,23.0,22.7,17.9,22.5,27.8,26.9,SANTA CRUZ DE TENERIFE ,20.0,6.9,,4.3,
2020-10-14 21:00:00,35.0,63.0,,76.0,,,,,74.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1014.0,1019.4,,,21.0,,1.0,,22.5,22.7,22.5,17.6,22.1,27.4,25.8,SANTA CRUZ DE TENERIFE ,20.0,7.0,,3.1,
2020-10-14 22:00:00,35.0,68.0,,74.0,,,,,75.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1014.3,1019.7,,,20.0,,1.0,,22.4,22.5,22.4,17.8,22.0,27.0,24.8,SANTA CRUZ DE TENERIFE ,20.0,6.7,,3.7,
2020-10-14 23:00:00,35.0,78.0,,73.0,,,,,75.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1014.7,1020.1,,,16.0,,1.0,,22.2,22.4,22.2,17.5,21.8,26.6,24.1,SANTA CRUZ DE TENERIFE ,20.0,6.6,,3.1,
2020-10-15 00:00:00,35.0,93.0,,71.0,,,,,74.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1014.5,1019.9,,,26.0,,0.7,,22.1,22.2,22.1,17.2,21.6,26.2,23.5,SANTA CRUZ DE TENERIFE ,20.0,6.2,,2.3,
2020-10-15 01:00:00,35.0,50.0,,61.0,,,,,74.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1014.3,1019.7,,,41.0,,0.6,,21.9,22.1,21.9,17.1,21.4,25.9,23.0,SANTA CRUZ DE TENERIFE ,20.0,4.8,,1.5,
2020-10-15 02:00:00,35.0,83.0,,72.0,,,,,75.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1013.7,1019.1,,,29.0,,0.9,,21.9,22.0,21.8,17.3,21.6,25.6,22.8,SANTA CRUZ DE TENERIFE ,20.0,5.0,,2.2,
2020-10-15 03:00:00,35.0,78.0,,73.0,,,,,73.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1013.1,1018.5,,,17.0,,0.7,,21.8,21.9,21.8,16.7,21.5,25.4,22.5,SANTA CRUZ DE TENERIFE ,20.0,4.7,,2.4,
2020-10-15 04:00:00,35.0,38.0,,72.0,,,,,74.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1013.0,1018.4,,,29.0,,0.7,,21.8,21.9,21.8,17.0,20.8,25.1,22.2,SANTA CRUZ DE TENERIFE ,19.9,4.0,,1.7,
2020-10-15 05:00:00,35.0,53.0,,18.0,,,,,73.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1013.2,1018.6,,,19.0,,0.6,,21.7,21.8,21.7,16.6,20.9,24.9,21.8,SANTA CRUZ DE TENERIFE ,20.0,3.5,,1.5,
2020-10-15 06:00:00,35.0,0.0,,41.0,,,,,73.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1014.0,1019.4,,,25.0,,0.5,,21.4,21.7,21.4,16.4,20.3,24.6,21.3,SANTA CRUZ DE TENERIFE ,20.0,3.0,,1.6,
2020-10-15 07:00:00,35.0,63.0,,264.0,,,,,74.0,C449C,0.0,28.463337,-16.255281,,0.0,,0.0,1013.8,1019.2,,,14.0,,0.3,,21.0,21.4,21.0,16.2,19.4,24.3,20.8,SANTA CRUZ DE TENERIFE ,20.0,3.6,,1.5,
2020-10-15 08:00:00,35.0,280.0,,69.0,,,,,72.0,C449C,13.7,28.463337,-16.255281,,0.0,,0.0,1014.0,1019.4,,,69.0,,0.5,,21.8,21.8,20.8,16.6,21.5,24.1,20.6,SANTA CRUZ DE TENERIFE ,20.0,3.2,,1.2,
