fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,1060.0,252.0,,202.0,,,,,37.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,30.0,,,,,23.8,25.7,23.8,8.3,,,,TEJEDA CASCO,,3.6,,0.2,
2020-10-14 20:00:00,1060.0,108.0,,76.0,,,,,30.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,54.0,,,,,24.9,24.9,23.7,6.1,,,,TEJEDA CASCO,,3.0,,1.9,
2020-10-14 21:00:00,1060.0,85.0,,93.0,,,,,29.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,43.0,,,,,24.2,24.9,22.8,5.0,,,,TEJEDA CASCO,,3.1,,1.5,
2020-10-14 22:00:00,1060.0,75.0,,78.0,,,,,25.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,109.0,,,,,24.5,24.7,23.9,3.2,,,,TEJEDA CASCO,,4.5,,3.3,
2020-10-14 23:00:00,1060.0,105.0,,25.0,,,,,25.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,72.0,,,,,23.9,25.1,23.9,2.7,,,,TEJEDA CASCO,,4.2,,0.1,
2020-10-15 00:00:00,1060.0,83.0,,109.0,,,,,26.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,48.0,,,,,23.8,24.3,23.7,3.0,,,,TEJEDA CASCO,,3.2,,1.2,
2020-10-15 01:00:00,1060.0,115.0,,167.0,,,,,31.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,28.0,,,,,21.1,23.8,21.1,3.2,,,,TEJEDA CASCO,,2.6,,0.3,
2020-10-15 02:00:00,1060.0,128.0,,32.0,,,,,31.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,45.0,,,,,22.1,22.7,21.1,4.1,,,,TEJEDA CASCO,,3.9,,0.3,
2020-10-15 03:00:00,1060.0,103.0,,99.0,,,,,30.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,45.0,,,,,22.2,22.3,21.3,3.8,,,,TEJEDA CASCO,,3.8,,1.8,
2020-10-15 04:00:00,1060.0,88.0,,51.0,,,,,30.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,32.0,,,,,22.1,22.4,21.8,3.8,,,,TEJEDA CASCO,,2.4,,0.6,
2020-10-15 05:00:00,1060.0,103.0,,107.0,,,,,29.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,29.0,,,,,22.7,23.0,21.7,3.8,,,,TEJEDA CASCO,,2.7,,0.5,
2020-10-15 06:00:00,1060.0,73.0,,18.0,,,,,30.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,27.0,,,,,21.7,22.6,21.7,3.4,,,,TEJEDA CASCO,,2.2,,0.9,
2020-10-15 07:00:00,1060.0,57.0,,54.0,,,,,25.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,81.0,,,,,22.1,22.6,21.5,1.1,,,,TEJEDA CASCO,,7.7,,4.9,
2020-10-15 08:00:00,1060.0,71.0,,61.0,,,,,17.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,222.0,,,,,22.0,22.3,21.6,-4.2,,,,TEJEDA CASCO,,10.5,,6.2,
2020-10-15 09:00:00,1060.0,50.0,,82.0,,,,,17.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,162.0,,,,,23.8,23.8,22.1,-2.7,,,,TEJEDA CASCO,,10.0,,3.0,
2020-10-15 10:00:00,1060.0,47.0,,47.0,,,,,17.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,64.0,,,,,25.5,26.4,23.9,-1.4,,,,TEJEDA CASCO,,4.3,,0.9,
2020-10-15 11:00:00,1060.0,87.0,,74.0,,,,,18.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,141.0,,,,,24.8,25.9,24.8,-1.2,,,,TEJEDA CASCO,,8.0,,4.4,
2020-10-15 12:00:00,1060.0,95.0,,280.0,,,,,35.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,98.0,,,,,24.0,26.1,22.3,7.6,,,,TEJEDA CASCO,,8.4,,1.3,
2020-10-15 13:00:00,1060.0,238.0,,274.0,,,,,33.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,87.0,,,,,25.1,26.3,22.8,7.7,,,,TEJEDA CASCO,,5.1,,2.8,
2020-10-15 14:00:00,1060.0,51.0,,79.0,,,,,30.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,82.0,,,,,26.3,27.5,24.8,7.3,,,,TEJEDA CASCO,,6.9,,1.4,
2020-10-15 15:00:00,1060.0,72.0,,271.0,,,,,38.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,106.0,,,,,24.8,26.7,23.9,9.6,,,,TEJEDA CASCO,,6.8,,2.4,
2020-10-15 16:00:00,1060.0,241.0,,240.0,,,,,40.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,94.0,,,,,25.6,26.6,23.1,11.0,,,,TEJEDA CASCO,,5.3,,1.1,
2020-10-15 17:00:00,1060.0,111.0,,57.0,,,,,35.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,94.0,,,,,24.3,25.8,23.5,7.8,,,,TEJEDA CASCO,,7.1,,2.3,
2020-10-15 18:00:00,1060.0,50.0,,13.0,,,,,40.0,C614H,,27.995,-15.615832999999999,,,,0.0,,,,79.0,,,,,22.2,25.2,22.2,8.0,,,,TEJEDA CASCO,,6.4,,0.3,
