fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,9.0,5.0,,9.0,,,,,74.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,22.9,23.4,22.9,,,,,TELDE-MELENARA,,6.6,,3.2,
2020-10-14 20:00:00,9.0,357.0,,359.0,,,,,75.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,22.6,22.8,22.6,,,,,TELDE-MELENARA,,6.3,,3.3,
2020-10-14 21:00:00,9.0,347.0,,359.0,,,,,75.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,22.4,22.5,22.4,,,,,TELDE-MELENARA,,6.7,,3.4,
2020-10-14 22:00:00,9.0,355.0,,353.0,,,,,77.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,22.2,22.4,22.2,,,,,TELDE-MELENARA,,6.8,,3.3,
2020-10-14 23:00:00,9.0,5.0,,8.0,,,,,76.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,22.1,22.2,22.1,,,,,TELDE-MELENARA,,6.6,,3.1,
2020-10-15 00:00:00,9.0,2.0,,30.0,,,,,74.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,22.0,22.2,22.0,,,,,TELDE-MELENARA,,6.8,,3.8,
2020-10-15 01:00:00,9.0,30.0,,22.0,,,,,75.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,21.8,22.0,21.8,,,,,TELDE-MELENARA,,5.6,,2.1,
2020-10-15 02:00:00,9.0,30.0,,25.0,,,,,75.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,21.7,21.8,21.7,,,,,TELDE-MELENARA,,5.4,,2.8,
2020-10-15 03:00:00,9.0,7.0,,15.0,,,,,74.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,21.6,21.6,21.5,,,,,TELDE-MELENARA,,4.8,,2.8,
2020-10-15 04:00:00,9.0,40.0,,27.0,,,,,72.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,21.6,21.7,21.6,,,,,TELDE-MELENARA,,5.3,,2.6,
2020-10-15 05:00:00,9.0,7.0,,23.0,,,,,73.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,21.6,21.6,21.5,,,,,TELDE-MELENARA,,5.6,,3.2,
2020-10-15 06:00:00,9.0,25.0,,11.0,,,,,71.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,21.6,21.6,21.5,,,,,TELDE-MELENARA,,5.6,,2.2,
2020-10-15 07:00:00,9.0,30.0,,15.0,,,,,72.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,21.8,21.8,21.6,,,,,TELDE-MELENARA,,5.2,,2.9,
2020-10-15 08:00:00,9.0,2.0,,2.0,,,,,70.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,22.1,22.1,21.8,,,,,TELDE-MELENARA,,6.8,,2.7,
2020-10-15 09:00:00,9.0,32.0,,8.0,,,,,67.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,22.8,22.8,22.2,,,,,TELDE-MELENARA,,5.8,,2.8,
2020-10-15 10:00:00,9.0,17.0,,85.0,,,,,64.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,23.7,23.7,22.9,,,,,TELDE-MELENARA,,5.6,,1.4,
2020-10-15 11:00:00,9.0,72.0,,63.0,,,,,62.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,24.3,24.3,23.9,,,,,TELDE-MELENARA,,5.2,,2.9,
2020-10-15 12:00:00,9.0,70.0,,65.0,,,,,63.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,24.3,24.4,24.2,,,,,TELDE-MELENARA,,6.6,,3.7,
2020-10-15 13:00:00,9.0,62.0,,63.0,,,,,62.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,24.2,24.3,24.0,,,,,TELDE-MELENARA,,6.3,,3.7,
2020-10-15 14:00:00,9.0,27.0,,35.0,,,,,64.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,24.2,24.5,24.1,,,,,TELDE-MELENARA,,6.5,,4.1,
2020-10-15 15:00:00,9.0,10.0,,40.0,,,,,63.0,C649R,,27.986668,-15.377778,,,,0.0,,,,,,,,,24.1,24.4,23.9,,,,,TELDE-MELENARA,,6.7,,2.9,
