fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,15.0,36.0,,57.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1016.2,1017.9,,46.0,,,,,23.1,23.7,23.1,22.9,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,3.5,,1.1,
2020-10-14 20:00:00,15.0,67.0,,61.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1016.7,1018.4,,48.0,,,,,22.7,23.1,22.6,22.5,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,3.2,,1.3,
2020-10-14 21:00:00,15.0,24.0,,44.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.3,1019.0,,41.0,,,,,22.4,22.7,22.4,22.3,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,2.9,,0.8,
2020-10-14 22:00:00,15.0,54.0,,51.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.5,1019.2,,39.0,,,,,22.4,22.5,22.1,22.3,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,3.3,,0.6,
2020-10-14 23:00:00,15.0,74.0,,67.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.6,1019.4,,46.0,,,,,22.1,22.4,22.1,22.0,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,3.6,,1.4,
2020-10-15 00:00:00,15.0,86.0,,82.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.4,1019.1,,65.0,,,,,22.1,22.3,22.0,22.0,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,4.0,,2.0,
2020-10-15 01:00:00,15.0,62.0,,80.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.2,1019.0,,62.0,,,,,21.9,22.2,21.9,21.8,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,4.4,,1.8,
2020-10-15 02:00:00,15.0,79.0,,82.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1016.6,1018.3,,67.0,,,,,21.9,22.0,21.8,21.8,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,4.2,,1.7,
2020-10-15 03:00:00,15.0,83.0,,75.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1016.0,1017.7,,65.0,,,,,21.8,21.9,21.7,21.6,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,4.1,,1.6,
2020-10-15 04:00:00,15.0,61.0,,87.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1015.4,1017.1,,69.0,,,,,21.7,21.9,21.7,21.5,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,5.1,,1.7,
2020-10-15 05:00:00,15.0,88.0,,82.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1015.7,1017.4,,57.0,,,,,21.8,21.9,21.7,21.6,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,4.0,,1.6,
2020-10-15 06:00:00,15.0,83.0,,69.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1016.4,1018.2,,51.0,,,,,21.7,21.9,21.6,21.5,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,3.5,,1.1,
2020-10-15 07:00:00,15.0,83.0,,14.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.2,1019.0,,42.0,,,,,22.0,22.1,21.7,21.8,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,3.7,,1.2,
2020-10-15 08:00:00,15.0,354.0,,58.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.3,1019.0,,34.0,,,,,22.1,22.4,22.0,22.0,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,3.0,,0.5,
2020-10-15 09:00:00,15.0,52.0,,69.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.8,1019.5,,43.0,,,,,22.7,22.9,22.2,22.5,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,2.8,,1.4,
2020-10-15 10:00:00,15.0,143.0,,123.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.3,1019.0,,65.0,,,,,24.6,24.6,22.6,24.4,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,4.8,,1.6,
2020-10-15 11:00:00,15.0,115.0,,100.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.7,1019.4,,79.0,,,,,24.1,25.0,23.7,23.9,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,5.8,,1.9,
2020-10-15 12:00:00,15.0,126.0,,87.0,,,,,99.0,C659M,,28.113056,-15.421389,,,,0.0,1017.4,1019.1,,84.0,,,,,24.6,25.0,23.7,24.4,,,,LAS PALMAS DE GC. PLAZA  DE LA FERIA,,4.7,,1.7,
