fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,6.0,65.0,,87.0,,,,,81.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,49.0,,,,,22.6,23.9,22.2,,,,,MASPALOMAS,,5.3,,1.9,
2020-10-14 20:00:00,6.0,44.0,,53.0,,,,,74.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,146.0,,,,,22.9,23.4,22.7,,,,,MASPALOMAS,,7.6,,4.6,
2020-10-14 21:00:00,6.0,51.0,,38.0,,,,,76.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,168.0,,,,,22.6,22.9,22.5,,,,,MASPALOMAS,,8.5,,2.4,
2020-10-14 22:00:00,6.0,52.0,,63.0,,,,,69.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,95.0,,,,,22.4,22.9,22.2,,,,,MASPALOMAS,,5.8,,4.1,
2020-10-14 23:00:00,6.0,64.0,,61.0,,,,,73.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,117.0,,,,,22.2,22.8,22.2,,,,,MASPALOMAS,,7.8,,4.2,
2020-10-15 00:00:00,6.0,67.0,,55.0,,,,,76.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,157.0,,,,,22.2,22.6,22.2,,,,,MASPALOMAS,,7.7,,5.5,
2020-10-15 01:00:00,6.0,63.0,,53.0,,,,,78.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,177.0,,,,,21.9,22.3,21.8,,,,,MASPALOMAS,,7.4,,5.1,
2020-10-15 02:00:00,6.0,44.0,,56.0,,,,,80.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,225.0,,,,,21.3,21.9,21.3,,,,,MASPALOMAS,,9.2,,6.1,
2020-10-15 03:00:00,6.0,61.0,,54.0,,,,,81.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,227.0,,,,,21.2,21.5,21.2,,,,,MASPALOMAS,,10.0,,5.9,
2020-10-15 04:00:00,6.0,57.0,,57.0,,,,,79.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,261.0,,,,,21.1,21.4,21.1,,,,,MASPALOMAS,,11.5,,8.1,
2020-10-15 05:00:00,6.0,51.0,,53.0,,,,,78.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,258.0,,,,,21.2,21.3,21.1,,,,,MASPALOMAS,,10.4,,6.6,
2020-10-15 06:00:00,6.0,56.0,,54.0,,,,,78.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,166.0,,,,,21.3,21.4,21.2,,,,,MASPALOMAS,,9.3,,4.1,
2020-10-15 07:00:00,6.0,70.0,,53.0,,,,,76.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,170.0,,,,,21.4,21.6,21.3,,,,,MASPALOMAS,,7.2,,4.5,
2020-10-15 08:00:00,6.0,56.0,,75.0,,,,,74.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,198.0,,,,,21.8,21.8,21.4,,,,,MASPALOMAS,,8.9,,5.6,
2020-10-15 09:00:00,6.0,57.0,,56.0,,,,,69.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,135.0,,,,,23.5,23.5,21.7,,,,,MASPALOMAS,,6.9,,4.3,
2020-10-15 10:00:00,6.0,54.0,,63.0,,,,,65.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,279.0,,,,,24.0,24.1,23.2,,,,,MASPALOMAS,,19.6,,9.6,
2020-10-15 11:00:00,6.0,69.0,,76.0,,,,,69.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,366.0,,,,,23.8,24.4,23.3,,,,,MASPALOMAS,,19.9,,10.1,
2020-10-15 12:00:00,6.0,75.0,,75.0,,,,,68.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,361.0,,,,,23.9,24.4,23.2,,,,,MASPALOMAS,,19.9,,9.6,
2020-10-15 13:00:00,6.0,84.0,,84.0,,,,,72.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,357.0,,,,,23.6,24.7,23.4,,,,,MASPALOMAS,,19.9,,9.7,
2020-10-15 14:00:00,6.0,85.0,,84.0,,,,,71.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,320.0,,,,,23.6,24.1,23.4,,,,,MASPALOMAS,,19.0,,8.0,
2020-10-15 15:00:00,6.0,91.0,,85.0,,,,,73.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,277.0,,,,,23.7,24.1,23.3,,,,,MASPALOMAS,,9.4,,7.6,
2020-10-15 16:00:00,6.0,78.0,,81.0,,,,,73.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,292.0,,,,,23.4,23.9,23.0,,,,,MASPALOMAS,,10.6,,7.7,
2020-10-15 17:00:00,6.0,91.0,,90.0,,,,,75.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,242.0,,,,,22.7,23.6,22.7,,,,,MASPALOMAS,,8.6,,6.2,
2020-10-15 18:00:00,6.0,71.0,,73.0,,,,,76.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,209.0,,,,,22.2,23.0,22.2,,,,,MASPALOMAS,,7.4,,6.2,
2020-10-14 21:00:00,6.0,51.0,,38.0,,,,,76.0,C689E,,27.735832,-15.595833,,,,0.0,,,,168.0,,,,,22.6,22.9,22.5,,,,,MASPALOMAS,,8.5,,2.4,
2020-10-14 22:00:00,6.0,52.0,,63.0,,,,,69.0,C689E,,27.735832,-15.595833,,,,0.0,,,,95.0,,,,,22.4,22.9,22.2,,,,,MASPALOMAS,,5.8,,4.1,
2020-10-14 23:00:00,6.0,64.0,,61.0,,,,,73.0,C689E,,27.735832,-15.595833,,,,0.0,,,,117.0,,,,,22.2,22.8,22.2,,,,,MASPALOMAS,,7.8,,4.2,
2020-10-15 00:00:00,6.0,67.0,,55.0,,,,,76.0,C689E,,27.735832,-15.595833,,,,0.0,,,,157.0,,,,,22.2,22.6,22.2,,,,,MASPALOMAS,,7.7,,5.5,
2020-10-15 01:00:00,6.0,63.0,,53.0,,,,,78.0,C689E,,27.735832,-15.595833,,,,0.0,,,,177.0,,,,,21.9,22.3,21.8,,,,,MASPALOMAS,,7.4,,5.1,
2020-10-15 02:00:00,6.0,44.0,,56.0,,,,,80.0,C689E,,27.735832,-15.595833,,,,0.0,,,,225.0,,,,,21.3,21.9,21.3,,,,,MASPALOMAS,,9.2,,6.1,
2020-10-15 03:00:00,6.0,61.0,,54.0,,,,,81.0,C689E,,27.735832,-15.595833,,,,0.0,,,,227.0,,,,,21.2,21.5,21.2,,,,,MASPALOMAS,,10.0,,5.9,
2020-10-15 04:00:00,6.0,57.0,,57.0,,,,,79.0,C689E,,27.735832,-15.595833,,,,0.0,,,,261.0,,,,,21.1,21.4,21.1,,,,,MASPALOMAS,,11.5,,8.1,
2020-10-15 05:00:00,6.0,51.0,,53.0,,,,,78.0,C689E,,27.735832,-15.595833,,,,0.0,,,,258.0,,,,,21.2,21.3,21.1,,,,,MASPALOMAS,,10.4,,6.6,
2020-10-15 06:00:00,6.0,56.0,,54.0,,,,,78.0,C689E,,27.735832,-15.595833,,,,0.0,,,,166.0,,,,,21.3,21.4,21.2,,,,,MASPALOMAS,,9.3,,4.1,
2020-10-15 07:00:00,6.0,70.0,,53.0,,,,,76.0,C689E,,27.735832,-15.595833,,,,0.0,,,,170.0,,,,,21.4,21.6,21.3,,,,,MASPALOMAS,,7.2,,4.5,
2020-10-15 08:00:00,6.0,56.0,,75.0,,,,,74.0,C689E,,27.735832,-15.595833,,,,0.0,,,,198.0,,,,,21.8,21.8,21.4,,,,,MASPALOMAS,,8.9,,5.6,
2020-10-15 09:00:00,6.0,57.0,,56.0,,,,,69.0,C689E,,27.735832,-15.595833,,,,0.0,,,,135.0,,,,,23.5,23.5,21.7,,,,,MASPALOMAS,,6.9,,4.3,
2020-10-15 10:00:00,6.0,54.0,,63.0,,,,,65.0,C689E,,27.735832,-15.595833,,,,0.0,,,,279.0,,,,,24.0,24.1,23.2,,,,,MASPALOMAS,,19.6,,9.6,
2020-10-15 11:00:00,6.0,69.0,,76.0,,,,,69.0,C689E,,27.735832,-15.595833,,,,0.0,,,,366.0,,,,,23.8,24.4,23.3,,,,,MASPALOMAS,,19.9,,10.1,
2020-10-15 12:00:00,6.0,75.0,,75.0,,,,,68.0,C689E,,27.735832,-15.595833,,,,0.0,,,,361.0,,,,,23.9,24.4,23.2,,,,,MASPALOMAS,,19.9,,9.6,
2020-10-15 13:00:00,6.0,84.0,,84.0,,,,,72.0,C689E,,27.735832,-15.595833,,,,0.0,,,,357.0,,,,,23.6,24.7,23.4,,,,,MASPALOMAS,,19.9,,9.7,
2020-10-15 14:00:00,6.0,85.0,,84.0,,,,,71.0,C689E,,27.735832,-15.595833,,,,0.0,,,,320.0,,,,,23.6,24.1,23.4,,,,,MASPALOMAS,,19.0,,8.0,
2020-10-15 15:00:00,6.0,91.0,,85.0,,,,,73.0,C689E,,27.735832,-15.595833,,,,0.0,,,,277.0,,,,,23.7,24.1,23.3,,,,,MASPALOMAS,,9.4,,7.6,
2020-10-15 16:00:00,6.0,78.0,,81.0,,,,,73.0,C689E,,27.735832,-15.595833,,,,0.0,,,,292.0,,,,,23.4,23.9,23.0,,,,,MASPALOMAS,,10.6,,7.7,
2020-10-15 17:00:00,6.0,91.0,,90.0,,,,,75.0,C689E,,27.735832,-15.595833,,,,0.0,,,,242.0,,,,,22.7,23.6,22.7,,,,,MASPALOMAS,,8.6,,6.2,
2020-10-15 18:00:00,6.0,71.0,,73.0,,,,,76.0,C689E,,27.735832,-15.595833,,,,0.0,,,,209.0,,,,,22.2,23.0,22.2,,,,,MASPALOMAS,,7.4,,6.2,
2020-10-15 19:00:00,6.0,81.0,,74.0,,,,,79.0,C689E,,27.735832,-15.595833,,,,0.0,,,,211.0,,,,,22.1,22.3,21.9,,,,,MASPALOMAS,,7.6,,5.6,
2020-10-15 20:00:00,6.0,61.0,,53.0,,,,,77.0,C689E,,27.735832,-15.595833,,,,0.0,,,,183.0,,,,,22.1,22.3,22.1,,,,,MASPALOMAS,,7.4,,5.2,
2020-10-15 19:00:00,6.0,81.0,,74.0,,,,,79.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,211.0,,,,,22.1,22.3,21.9,,,,,MASPALOMAS,,7.6,,5.6,
2020-10-15 20:00:00,6.0,61.0,,53.0,,,,,77.0,C689E,,27.735832000000002,-15.595832999999999,,,,0.0,,,,183.0,,,,,22.1,22.3,22.1,,,,,MASPALOMAS,,7.4,,5.2,
