fint,alt,dmax,dmaxu,dv,dvu,geo700,geo850,geo925,hr,idema,inso,lat,lon,nieve,pacutp,pliqt,prec,pres,pres_nmar,psoltp,rviento,stddv,stddvu,stdvv,stdvvu,ta,tamax,tamin,tpr,ts,tss20cm,tss5cm,ubi,vis,vmax,vmaxu,vv,vvu
2020-10-14 19:00:00,670.0,20.0,,32.0,,,,,98.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,17.5,18.3,17.5,,,,,VALVERDE,,5.5,,2.2,
2020-10-14 20:00:00,670.0,5.0,,3.0,,,,,98.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,17.2,17.7,17.2,,,,,VALVERDE,,6.0,,3.5,
2020-10-14 21:00:00,670.0,27.0,,43.0,,,,,99.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,17.3,17.3,17.1,,,,,VALVERDE,,6.0,,2.8,
2020-10-14 22:00:00,670.0,45.0,,68.0,,,,,99.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,17.2,17.4,17.2,,,,,VALVERDE,,6.0,,2.0,
2020-10-14 23:00:00,670.0,77.0,,156.0,,,,,99.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,16.8,17.3,16.8,,,,,VALVERDE,,3.9,,1.0,
2020-10-15 00:00:00,670.0,172.0,,177.0,,,,,33.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,20.6,20.6,17.3,,,,,VALVERDE,,4.7,,1.6,
2020-10-15 01:00:00,670.0,187.0,,183.0,,,,,23.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,23.3,23.4,21.8,,,,,VALVERDE,,7.4,,5.7,
2020-10-15 02:00:00,670.0,162.0,,183.0,,,,,39.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,20.9,22.8,19.9,,,,,VALVERDE,,9.9,,5.2,
2020-10-15 03:00:00,670.0,190.0,,159.0,,,,,45.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,17.7,21.4,17.6,,,,,VALVERDE,,5.9,,0.9,
2020-10-15 04:00:00,670.0,190.0,,140.0,,,,,70.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,17.9,21.0,17.0,,,,,VALVERDE,,4.8,,2.3,
2020-10-15 05:00:00,670.0,147.0,,135.0,,,,,96.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,17.0,19.3,17.0,,,,,VALVERDE,,4.0,,1.7,
2020-10-15 06:00:00,670.0,345.0,,329.0,,,,,92.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,16.7,16.9,16.4,,,,,VALVERDE,,3.6,,1.5,
2020-10-15 07:00:00,670.0,355.0,,141.0,,,,,96.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,16.7,16.9,16.7,,,,,VALVERDE,,3.5,,0.5,
2020-10-15 08:00:00,670.0,192.0,,114.0,,,,,92.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,17.9,17.9,16.2,,,,,VALVERDE,,3.3,,0.2,
2020-10-15 09:00:00,670.0,182.0,,163.0,,,,,55.0,C928I,,27.810833,-17.919442999999994,,,,0.0,,,,,,,,,22.9,22.9,18.1,,,,,VALVERDE,,5.2,,2.6,
