fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2020-08-01,2117D,ARANDA DE DUERO,BURGOS,790.0,23.2,0.0,12.2,04:30,34.2,15:50,27.0,1.9,9.2,16:10,8.0,929.8,10,927.2,17
2020-08-02,2117D,ARANDA DE DUERO,BURGOS,790.0,20.2,0.0,13.1,04:00,27.4,11:10,32.0,2.5,9.4,14:30,7.5,929.1,00,927.5,17
2020-08-03,2117D,ARANDA DE DUERO,BURGOS,790.0,18.6,0.0,10.6,05:30,26.6,14:40,31.0,1.7,9.7,15:20,8.1,928.7,10,926.0,17
2020-08-04,2117D,ARANDA DE DUERO,BURGOS,790.0,19.5,0.0,9.7,05:00,29.3,15:40,35.0,1.7,7.2,15:00,8.2,928.6,08,925.2,17
2020-08-05,2117D,ARANDA DE DUERO,BURGOS,790.0,22.0,0.0,9.8,05:30,34.3,15:00,22.0,1.4,6.1,12:30,8.1,926.4,00,923.5,Varias
2020-08-06,2117D,ARANDA DE DUERO,BURGOS,790.0,26.2,0.0,16.3,00:20,36.2,14:00,10.0,2.5,10.6,07:20,7.1,927.1,24,924.4,Varias
2020-08-07,2117D,ARANDA DE DUERO,BURGOS,790.0,28.8,0.4,18.2,05:20,39.4,14:50,22.0,1.9,11.1,Varias,7.5,930.3,24,926.0,17
2020-08-08,2117D,ARANDA DE DUERO,BURGOS,790.0,28.2,0.0,19.0,23:59,37.3,14:20,27.0,2.5,14.7,17:10,6.6,930.7,08,927.8,16
2020-08-09,2117D,ARANDA DE DUERO,BURGOS,790.0,27.0,0.0,17.2,05:00,36.8,15:00,32.0,1.9,8.9,14:20,6.8,928.8,00,923.0,17
2020-08-10,2117D,ARANDA DE DUERO,BURGOS,790.0,25.3,0.0,16.5,05:40,34.1,11:00,18.0,2.2,17.5,13:10,6.5,924.0,Varias,922.1,15
2020-08-11,2117D,ARANDA DE DUERO,BURGOS,790.0,20.2,7.8,14.6,23:50,25.8,01:50,17.0,1.9,19.7,01:40,2.8,928.2,12,923.3,02
2020-08-12,2117D,ARANDA DE DUERO,BURGOS,790.0,19.7,1.8,12.8,05:00,26.6,14:10,22.0,1.4,13.3,14:30,7.1,926.6,24,923.7,04
2020-08-13,2117D,ARANDA DE DUERO,BURGOS,790.0,20.6,0.0,12.7,05:40,28.4,15:00,99.0,0.8,6.4,Varias,7.2,928.2,10,925.8,18
2020-08-14,2117D,ARANDA DE DUERO,BURGOS,790.0,20.9,0.0,10.8,05:40,31.0,14:30,22.0,1.1,8.6,13:00,7.1,927.4,00,923.0,18
2020-08-15,2117D,ARANDA DE DUERO,BURGOS,790.0,20.4,0.0,12.2,04:00,28.5,14:40,28.0,2.2,11.4,14:50,7.4,925.5,Varias,923.0,Varias
2020-08-16,2117D,ARANDA DE DUERO,BURGOS,790.0,17.6,0.0,9.3,05:40,25.9,14:50,27.0,1.7,9.2,16:20,7.3,926.8,Varias,924.6,17
2020-08-17,2117D,ARANDA DE DUERO,BURGOS,790.0,19.6,0.0,11.9,03:50,27.4,14:50,35.0,2.5,8.6,17:50,6.6,927.9,21,924.8,15
2020-08-18,2117D,ARANDA DE DUERO,BURGOS,790.0,21.0,0.0,15.5,Varias,26.5,15:10,28.0,1.1,9.4,12:00,1.9,927.7,00,924.8,19
2020-08-19,2117D,ARANDA DE DUERO,BURGOS,790.0,22.6,0.0,12.4,05:50,32.9,14:50,21.0,2.8,11.1,12:30,7.4,925.1,00,919.1,18
2020-08-20,2117D,ARANDA DE DUERO,BURGOS,790.0,22.3,0.0,10.8,05:50,33.8,14:30,22.0,3.3,15.0,Varias,7.2,924.4,24,918.9,16
2020-08-21,2117D,ARANDA DE DUERO,BURGOS,790.0,21.7,0.0,14.6,23:59,28.8,15:10,27.0,1.4,10.3,15:10,5.4,931.0,24,923.8,03
2020-08-22,2117D,ARANDA DE DUERO,BURGOS,790.0,19.1,0.0,10.0,06:00,28.2,15:20,31.0,1.7,7.8,14:40,6.7,933.6,Varias,930.8,02
2020-08-23,2117D,ARANDA DE DUERO,BURGOS,790.0,18.2,0.0,7.8,05:50,28.6,14:10,33.0,1.4,8.9,18:30,6.8,933.6,00,929.5,18
2020-08-24,2117D,ARANDA DE DUERO,BURGOS,790.0,19.6,0.0,8.6,06:00,30.5,14:40,27.0,0.8,6.7,12:40,NaN,930.4,00,925.8,19
2020-08-25,2117D,ARANDA DE DUERO,BURGOS,790.0,21.6,0.0,8.8,05:00,34.3,14:30,23.0,1.4,8.3,14:50,6.9,928.8,24,926.0,Varias
2020-08-26,2117D,ARANDA DE DUERO,BURGOS,790.0,22.2,0.0,10.2,06:00,34.3,14:40,26.0,1.1,9.2,14:30,6.6,930.8,Varias,928.6,18
2020-08-27,2117D,ARANDA DE DUERO,BURGOS,790.0,21.7,0.0,10.3,06:00,33.1,14:50,23.0,0.8,8.1,15:50,6.6,930.4,Varias,925.3,Varias
2020-08-28,2117D,ARANDA DE DUERO,BURGOS,790.0,20.6,0.0,12.9,23:59,28.2,14:40,27.0,2.5,10.0,12:50,4.3,925.3,00,917.8,17
2020-08-29,2117D,ARANDA DE DUERO,BURGOS,790.0,13.2,0.8,7.5,06:00,18.8,14:00,35.0,3.1,13.1,17:50,5.4,925.9,24,920.0,14
2020-08-30,2117D,ARANDA DE DUERO,BURGOS,790.0,11.6,0.0,4.6,05:50,18.7,15:10,31.0,1.7,9.2,11:20,5.5,930.3,24,925.3,03
2020-08-31,2117D,ARANDA DE DUERO,BURGOS,790.0,12.9,0.0,3.2,05:50,22.6,15:40,33.0,1.1,5.6,14:00,5.8,930.7,Varias,927.0,18
2020-08-31,2117D,ARANDA DE DUERO,BURGOS,790.0,12.9,0.0,3.2,05:50,22.6,15:40,33.0,1.1,5.6,14:00,5.8,930.7,Varias,927.0,18
