fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2020-08-01,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,21.0,0.0,10.6,05:20,31.3,14:00,30.0,2.5,11.7,14:10,13.0,898.8,10,897.1,04
2020-08-02,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,18.8,0.0,9.6,05:40,28.1,14:00,99.0,1.9,7.8,Varias,9.9,898.4,00,895.8,17
2020-08-03,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,16.8,0.0,7.2,05:40,26.5,15:00,26.0,2.5,11.4,12:30,13.2,897.4,24,895.0,16
2020-08-04,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,18.5,0.0,8.6,05:40,28.4,15:50,21.0,1.4,8.6,11:50,13.6,897.3,Varias,894.3,Varias
2020-08-05,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,20.0,0.0,8.1,05:10,32.0,15:30,30.0,1.7,8.3,14:40,13.7,896.2,24,893.8,16
2020-08-06,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,23.2,0.0,12.5,05:20,33.9,16:20,12.0,2.5,8.9,08:30,8.7,897.9,Varias,895.3,17
2020-08-07,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,26.7,6.0,17.0,05:00,36.4,14:30,17.0,2.5,17.5,16:00,8.8,900.7,24,896.8,15
2020-08-08,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,25.0,3.6,14.9,05:40,35.0,14:30,11.0,1.9,11.4,15:40,8.8,900.8,Varias,898.5,15
2020-08-09,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,24.6,0.4,15.1,05:00,34.2,13:40,27.0,2.5,10.0,13:20,10.5,899.5,00,893.8,17
2020-08-10,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,23.2,0.0,15.8,05:10,30.7,11:40,22.0,2.8,14.7,13:20,9.5,894.9,24,893.0,Varias
2020-08-11,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,18.8,10.0,12.9,23:59,24.8,11:10,24.0,3.1,13.9,19:10,2.8,897.3,13,894.1,09
2020-08-12,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,18.1,3.2,11.5,05:20,24.7,13:00,19.0,1.7,10.3,13:30,6.8,895.8,23,893.2,04
2020-08-13,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,18.2,0.0,9.6,04:30,26.8,16:30,33.0,1.9,8.6,17:00,10.7,897.3,23,895.3,02
2020-08-14,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,19.2,0.0,9.1,02:40,29.4,15:00,27.0,1.4,9.2,12:40,10.5,897.1,00,893.4,19
2020-08-15,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,18.2,0.0,9.6,23:59,26.9,15:20,31.0,3.1,10.3,16:30,13.3,894.4,Varias,892.2,17
2020-08-16,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,14.7,0.0,6.1,05:10,23.3,16:40,30.0,2.8,13.3,13:30,12.7,895.3,22,893.8,02
2020-08-17,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,15.7,0.8,6.7,04:40,24.7,14:10,30.0,1.9,11.1,13:50,4.4,896.8,22,894.5,16
2020-08-18,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,18.2,0.2,13.5,23:59,22.9,14:20,28.0,1.7,7.5,13:20,0.6,896.5,09,894.8,19
2020-08-19,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,20.3,0.0,10.1,05:50,30.5,15:50,26.0,2.8,11.7,13:30,13.0,894.9,00,889.1,18
2020-08-20,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,19.2,0.0,6.7,06:20,31.6,15:00,21.0,3.1,12.2,16:30,11.4,893.3,24,889.3,15
2020-08-21,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,20.4,0.0,12.8,23:59,27.9,14:10,31.0,3.3,11.7,16:20,6.7,899.9,24,893.3,00
2020-08-22,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,17.2,0.0,7.3,05:10,27.2,16:00,31.0,1.9,8.3,12:40,12.9,902.4,Varias,899.9,Varias
2020-08-23,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,16.6,0.0,4.0,05:00,29.1,16:00,29.0,1.4,8.6,16:30,11.9,902.6,01,898.7,18
2020-08-24,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,17.9,0.0,6.7,05:40,29.1,15:50,27.0,1.7,8.9,13:20,12.7,899.6,00,895.9,18
2020-08-25,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,19.8,0.0,7.3,05:40,32.2,15:00,28.0,2.2,12.2,12:20,12.5,898.8,24,896.3,03
2020-08-26,2298,PALACIOS DE LA SIERRA,BURGOS,1080.0,21.9,0.0,10.6,05:40,33.2,14:50,30.0,1.7,10.3,14:00,12.4,900.6,23,898.7,Varias
