fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2020-08-01,9051,MEDINA DE POMAR,BURGOS,580.0,20.6,0.0,15.2,06:00,25.9,13:00,8.0,2.8,10.0,14:50,4.5,956.1,21,953.1,04
2020-08-02,9051,MEDINA DE POMAR,BURGOS,580.0,18.6,0.0,15.4,23:59,21.9,13:50,3.0,2.5,10.0,13:20,2.3,955.6,00,953.5,18
2020-08-03,9051,MEDINA DE POMAR,BURGOS,580.0,17.6,0.0,10.5,06:10,24.7,15:10,2.0,2.5,10.6,15:40,12.0,953.9,Varias,951.2,16
2020-08-04,9051,MEDINA DE POMAR,BURGOS,580.0,18.4,0.0,11.2,02:50,25.6,15:20,2.0,2.5,8.3,15:30,7.7,954.0,00,950.5,18
2020-08-05,9051,MEDINA DE POMAR,BURGOS,580.0,21.4,0.0,8.1,05:40,34.8,15:30,5.0,1.7,8.3,16:10,11.0,951.1,00,946.8,16
2020-08-06,9051,MEDINA DE POMAR,BURGOS,580.0,23.4,0.0,9.3,06:00,37.4,15:00,6.0,1.4,8.3,18:10,10.1,950.8,07,946.9,17
2020-08-07,9051,MEDINA DE POMAR,BURGOS,580.0,27.8,0.0,16.3,06:00,39.3,14:20,32.0,1.9,13.9,15:30,10.2,954.8,24,948.3,15
2020-08-08,9051,MEDINA DE POMAR,BURGOS,580.0,25.2,4.4,14.8,06:00,35.5,14:00,15.0,1.7,11.1,18:20,9.9,956.0,20,950.3,16
2020-08-09,9051,MEDINA DE POMAR,BURGOS,580.0,26.6,15.6,16.2,06:00,37.1,14:30,4.0,1.7,9.4,18:30,10.3,953.1,00,946.1,17
2020-08-10,9051,MEDINA DE POMAR,BURGOS,580.0,24.7,5.4,17.8,23:59,31.6,13:20,4.0,1.9,12.5,14:30,7.3,948.5,00,944.9,14
2020-08-11,9051,MEDINA DE POMAR,BURGOS,580.0,23.2,3.6,17.0,01:40,29.5,11:30,18.0,1.4,10.6,12:20,4.9,951.5,14,946.7,18
2020-08-12,9051,MEDINA DE POMAR,BURGOS,580.0,21.6,3.4,15.4,06:00,27.9,14:50,21.0,1.4,9.7,12:00,5.4,949.2,Varias,945.5,Varias
2020-08-13,9051,MEDINA DE POMAR,BURGOS,580.0,20.8,0.2,15.8,05:00,25.8,14:20,4.0,2.2,11.1,16:40,6.6,953.3,22,949.0,00
2020-08-14,9051,MEDINA DE POMAR,BURGOS,580.0,22.2,0.0,15.5,04:50,29.0,14:10,3.0,1.9,10.0,16:30,8.6,953.0,00,947.0,16
2020-08-15,9051,MEDINA DE POMAR,BURGOS,580.0,21.1,0.0,12.6,23:59,29.6,15:00,4.0,1.9,10.6,17:00,6.5,949.6,00,945.1,15
2020-08-16,9051,MEDINA DE POMAR,BURGOS,580.0,17.8,0.0,9.7,06:00,25.9,15:10,3.0,1.7,9.7,16:30,6.5,949.6,Varias,947.1,16
2020-08-17,9051,MEDINA DE POMAR,BURGOS,580.0,17.8,5.2,11.2,02:00,24.5,12:20,24.0,1.7,11.4,11:50,2.1,950.1,24,947.4,05
2020-08-18,9051,MEDINA DE POMAR,BURGOS,580.0,19.4,0.0,13.2,04:50,25.5,16:40,13.0,1.7,8.1,18:00,3.0,950.1,00,946.8,24
2020-08-19,9051,MEDINA DE POMAR,BURGOS,580.0,23.7,0.0,15.0,04:40,32.4,16:10,26.0,3.3,13.3,17:10,10.1,946.8,00,940.0,18
2020-08-20,9051,MEDINA DE POMAR,BURGOS,580.0,24.0,0.0,14.1,06:00,34.0,16:00,24.0,2.2,17.2,19:40,10.6,945.7,24,939.9,16
2020-08-21,9051,MEDINA DE POMAR,BURGOS,580.0,22.3,0.0,16.6,23:40,28.0,17:00,36.0,2.8,9.7,18:20,3.6,954.9,Varias,945.3,01
2020-08-22,9051,MEDINA DE POMAR,BURGOS,580.0,19.3,0.0,12.0,06:30,26.6,14:00,4.0,2.8,9.7,15:10,10.4,959.2,21,954.9,00
2020-08-23,9051,MEDINA DE POMAR,BURGOS,580.0,18.8,0.0,12.3,03:00,25.4,14:10,3.0,2.2,9.2,17:30,11.1,959.1,08,955.4,16
2020-08-24,9051,MEDINA DE POMAR,BURGOS,580.0,19.8,0.0,10.7,03:10,29.0,16:50,7.0,1.7,6.4,18:20,10.2,956.5,00,949.3,Varias
2020-08-25,9051,MEDINA DE POMAR,BURGOS,580.0,21.8,0.0,9.5,06:00,34.0,14:20,3.0,2.2,12.2,16:10,11.8,954.5,23,948.6,14
2020-08-26,9051,MEDINA DE POMAR,BURGOS,580.0,22.6,0.0,14.6,01:40,30.5,14:40,3.0,1.7,8.9,17:30,11.4,955.5,Varias,953.1,17
2020-08-27,9051,MEDINA DE POMAR,BURGOS,580.0,22.6,1.4,13.7,06:00,31.5,13:50,36.0,1.9,11.4,16:30,8.4,954.8,00,949.5,24
2020-08-28,9051,MEDINA DE POMAR,BURGOS,580.0,16.0,0.2,12.1,23:59,20.0,00:10,35.0,1.7,9.2,16:40,0.0,949.5,00,945.0,Varias
2020-08-29,9051,MEDINA DE POMAR,BURGOS,580.0,14.2,2.8,10.3,01:20,18.1,13:20,27.0,1.9,11.7,13:30,2.7,949.3,23,943.5,06
2020-08-30,9051,MEDINA DE POMAR,BURGOS,580.0,12.0,0.0,6.4,23:59,17.5,14:40,4.0,1.4,10.3,12:00,3.0,955.6,24,948.8,01
2020-08-31,9051,MEDINA DE POMAR,BURGOS,580.0,13.8,0.0,3.3,06:00,24.3,16:00,3.0,1.7,7.8,16:50,9.6,955.6,00,950.7,Varias
2020-08-31,9051,MEDINA DE POMAR,BURGOS,580.0,13.8,0.0,3.3,06:00,24.3,16:00,3.0,1.7,7.8,16:50,9.6,955.6,00,950.7,Varias
2020-09-01,9051,MEDINA DE POMAR,BURGOS,580.0,16.6,0.0,8.5,05:50,24.7,13:30,4.0,2.5,10.3,17:10,10.7,952.4,23,948.8,Varias
2020-09-02,9051,MEDINA DE POMAR,BURGOS,580.0,17.3,0.0,10.0,01:40,24.6,15:50,4.0,2.2,8.1,13:30,10.7,955.3,23,952.0,Varias
2020-09-03,9051,MEDINA DE POMAR,BURGOS,580.0,18.6,0.0,4.9,06:30,32.4,16:00,5.0,1.7,7.8,17:10,11.3,957.0,23,953.6,16
2020-09-04,9051,MEDINA DE POMAR,BURGOS,580.0,21.2,0.0,7.2,06:30,35.1,15:00,4.0,1.4,9.2,17:40,11.3,957.6,Varias,952.9,16
2020-09-05,9051,MEDINA DE POMAR,BURGOS,580.0,17.4,0.2,11.1,06:00,23.8,11:30,2.0,2.2,11.1,12:10,4.7,957.7,10,955.5,00
2020-09-06,9051,MEDINA DE POMAR,BURGOS,580.0,16.8,0.0,13.7,23:59,20.0,13:20,99.0,2.8,9.7,Varias,4.6,957.1,00,955.4,17
2020-09-07,9051,MEDINA DE POMAR,BURGOS,580.0,14.9,0.0,9.8,23:00,20.0,13:40,99.0,2.5,10.0,Varias,8.0,960.3,22,956.0,04
2020-09-08,9051,MEDINA DE POMAR,BURGOS,580.0,15.5,0.0,6.5,06:00,24.5,12:50,1.0,2.5,12.2,12:40,11.3,959.8,00,955.5,17
2020-09-09,9051,MEDINA DE POMAR,BURGOS,580.0,17.3,0.0,6.0,06:20,28.6,13:10,1.0,1.9,9.7,16:50,11.3,957.5,09,954.8,Varias
2020-09-10,9051,MEDINA DE POMAR,BURGOS,580.0,18.0,0.0,7.4,06:30,28.6,13:50,4.0,2.8,9.2,13:20,11.2,957.2,00,952.5,17
2020-09-11,9051,MEDINA DE POMAR,BURGOS,580.0,18.4,0.0,7.9,06:00,29.0,15:00,4.0,1.7,8.6,15:50,11.2,953.5,00,949.7,16
2020-09-12,9051,MEDINA DE POMAR,BURGOS,580.0,19.1,0.0,7.8,06:30,30.4,14:40,2.0,1.7,9.7,17:30,11.2,956.2,23,952.4,00
2020-09-13,9051,MEDINA DE POMAR,BURGOS,580.0,20.8,0.0,7.2,06:00,34.5,15:40,15.0,2.2,8.6,14:20,11.1,956.8,09,952.4,Varias
2020-09-14,9051,MEDINA DE POMAR,BURGOS,580.0,21.8,0.0,12.1,06:30,31.6,14:00,20.0,2.5,21.1,13:40,6.5,955.6,08,951.7,16
2020-09-15,9051,MEDINA DE POMAR,BURGOS,580.0,22.4,0.0,14.4,06:40,30.5,15:10,25.0,1.9,8.9,15:10,9.9,955.7,00,952.3,16
2020-09-16,9051,MEDINA DE POMAR,BURGOS,580.0,21.6,0.0,11.2,06:40,32.0,14:50,3.0,1.9,9.4,16:40,9.3,954.9,09,950.3,16
