fecha,indicativo,nombre,provincia,altitud,prec,presMax,presMin,racha,sol,tmax,tmed,tmin,velmedia,dir,horatmin,horatmax,horaracha
2020-08-01,9111,BELORADO,BURGOS,820.0,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-02,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-03,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-04,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-05,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-06,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-07,9111,BELORADO,BURGOS,820.0,8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-08,9111,BELORADO,BURGOS,820.0,0.8,NaN,NaN,NaN,NaN,31.6,23.9,16.2,NaN,NaN,05:30,15:00,NaN
2020-08-09,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,33.5,24.3,15.1,NaN,NaN,05:20,14:30,NaN
2020-08-10,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,31.8,24.0,16.1,NaN,NaN,04:10,14:00,NaN
2020-08-11,9111,BELORADO,BURGOS,820.0,10.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-12,9111,BELORADO,BURGOS,820.0,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-13,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-14,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-15,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-16,9111,BELORADO,BURGOS,820.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-17,9111,BELORADO,BURGOS,820.0,6.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-08-18,9111,BELORADO,BURGOS,820.0,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
