indicativo,nombre,provincia,indsinop,latitud,longitud,altitud
0002I,VANDELLÒS  ,TARRAGONA,08169,40.95805555555556,0.8713888888888889,32
0016A,REUS AEROPUERTO,TARRAGONA,08175,41.144999999999996,1.163611111111111,71
0076,BARCELONA AEROPUERTO,BARCELONA,08181,41.29277777777778,2.0700000000000003,4
0149X,MANRESA,BARCELONA,08174,41.72,1.840277777777778,291
0200E,"BARCELONA, FABRA",BARCELONA,,41.41833333333333,2.1241666666666665,408
0201D,BARCELONA,BARCELONA,08180,41.39055555555556,2.2,6
0229I,SABADELL AEROPUERTO,BARCELONA,08192,41.52361111111111,2.1030555555555557,146
0252D,ARENYS DE MAR,BARCELONA,08186,41.587500000000006,2.54,74
0255B,SANTA SUSANNA,BARCELONA,08188,41.65083333333333,2.6969444444444446,40
0324A,RIPOLL,GIRONA,08118,42.19138888888889,2.196111111111111,675
0367,GIRONA AEROPUERTO,GIRONA,08184,41.91166666666666,2.763333333333333,143
0370B,"GIRONA, ANTIC INSTITUT",GIRONA,,41.980000000000004,2.8252777777777776,95
0372C,PORQUERES,GIRONA,08120,42.10444444444445,2.763611111111111,157
1002Y,"BAZTAN, IRURITA ",NAVARRA,08030,43.13583333333333,-1.5430555555555554,183
1014,"HONDARRIBIA, MALKARROA",GIPUZKOA,08029,43.356944444444444,-1.7922222222222222,4
1014A,SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,08029,43.356944444444444,-1.7922222222222222,4
1024E,"DONOSTIA/SAN SEBASTIÁN, IGUELDO",GIPUZKOA,08027,43.30638888888888,-2.041111111111111,251
1037Y,ZUMARRAGA,GIPUZKOA,08037,43.080000000000005,-2.3175,420
1041A,ZUMAIA,GIPUZKOA,08026,43.30222222222222,-2.2511111111111113,28
1050J,ELGOIBAR,GIPUZKOA,08036,43.20944444444445,-2.413333333333333,119
1055B,LEKEITIO,BIZKAIA,08024,43.37694444444445,-2.5102777777777776,12
1057B,MACHICHACO,BIZKAIA,,43.45388888888889,-2.7527777777777778,93
1059X,PUNTA GALEA,BIZKAIA,08059,43.375,-3.0216666666666665,90
1078I,GÜEÑES,BIZKAIA,08035,43.20333333333333,-3.104722222222222,208
1082,BILBAO AEROPUERTO,BIZKAIA,08025,43.29805555555556,-2.906388888888889,42
1083L,CASTRO URDIALES,CANTABRIA,08020,43.39472222222222,-3.233888888888889,45
1109,SANTANDER AEROPUERTO,CANTABRIA,08021,43.42388888888889,-3.8255555555555554,3
1110,"SANTANDER, CIUDAD",CANTABRIA,,43.465,-3.8188888888888886,64
